Asset1,Asset2,Cat1,Cat2,Intra_Inter,Corr_Lag0,Corr_Lag-4,Corr_Lag-3,Corr_Lag-2,Corr_Lag-1,Corr_Lag+1,Corr_Lag+2,Corr_Lag+3,Corr_Lag+4,Best_Lag,Best_Corr,Best_AbsCorr,Lag_Gain,Leader,Follower,Lead_Weeks
TY_US10Y,DOWJONES,Bonds,Indices,Inter,-0.105,0.0028,0.0387,-0.0454,-0.0412,0.0986,-0.0653,0.0491,-0.0141,0,-0.105,0.105,0.0,Contemporain,Contemporain,0
TY_US10Y,CAC40,Bonds,Indices,Inter,-0.1518,0.0172,0.0214,-0.0304,0.0048,0.033,-0.0323,0.0693,-0.0232,0,-0.1518,0.1518,0.0,Contemporain,Contemporain,0
TY_US10Y,FTSE100,Bonds,Indices,Inter,-0.1085,-0.0516,0.0329,-0.0734,0.0263,0.0274,-0.0897,0.0768,0.0027,0,-0.1085,0.1085,0.0,Contemporain,Contemporain,0
TY_US10Y,DAX,Bonds,Indices,Inter,-0.1469,-0.0177,0.0445,-0.0181,0.0032,0.0443,-0.0333,0.0694,-0.0423,0,-0.1469,0.1469,0.0,Contemporain,Contemporain,0
TY_US10Y,SP500,Bonds,Indices,Inter,-0.0797,-0.007,0.0301,-0.0602,-0.0327,0.1061,-0.0338,0.059,-0.0092,1,0.1061,0.1061,0.0264,TY_US10Y,SP500,1
TY_US10Y,HANGSENG,Bonds,Indices,Inter,-0.0315,0.0109,-0.0067,-0.0178,-0.0297,0.0524,0.0351,0.0632,0.0226,3,0.0632,0.0632,0.0317,TY_US10Y,HANGSENG,3
TY_US10Y,NIKKEI225,Bonds,Indices,Inter,-0.1509,0.0169,0.0157,-0.0869,-0.041,-0.0502,0.0053,0.0907,-0.0332,0,-0.1509,0.1509,0.0,Contemporain,Contemporain,0
TY_US10Y,NASDAQ100,Bonds,Indices,Inter,-0.037,0.0136,0.0325,-0.0734,-0.0225,0.1072,0.0105,0.0534,-0.0117,1,0.1072,0.1072,0.0702,TY_US10Y,NASDAQ100,1
TY_US10Y,RUSSELL2000,Bonds,Indices,Inter,-0.0814,-0.0386,0.0128,-0.026,-0.0603,0.0475,-0.0272,0.0484,-0.021,0,-0.0814,0.0814,0.0,Contemporain,Contemporain,0
TY_US10Y,EUROSTOXX50,Bonds,Indices,Inter,-0.146,0.0005,0.041,-0.0335,0.0115,0.0401,-0.0281,0.0623,-0.0259,0,-0.146,0.146,0.0,Contemporain,Contemporain,0
TY_US10Y,VIX,Bonds,Indices,Inter,0.162,0.039,-0.043,0.0215,0.008,-0.086,-0.0045,-0.0456,0.0128,0,0.162,0.162,0.0,Contemporain,Contemporain,0
RX_BUND,G_GILT,Bonds,Bonds,Intra,0.7082,-0.0532,0.0457,-0.0142,-0.0072,0.015,0.0089,0.0155,-0.0139,0,0.7082,0.7082,0.0,Contemporain,Contemporain,0
RX_BUND,OAT_FRANCE,Bonds,Bonds,Intra,0.7337,-0.0558,-0.0105,0.0072,-0.0021,0.0083,-0.0205,-0.0108,-0.0136,0,0.7337,0.7337,0.0,Contemporain,Contemporain,0
