Date,TY_US10Y,RX_BUND,G_GILT,OAT_FRANCE,ZINC,LEAD
2016-10-14,129.859375,163.46,126.55,158.09,2245.75,1983.75
2016-10-21,130.34375,164.22,126.93,158.79,2251.75,1990.0
2016-10-28,129.546875,162.08,125.08,156.32,2391.25,2056.75
2016-11-04,130.25,162.5,126.38,156.38,2436.0,2089.5
2016-11-11,127.171875,160.27,124.22,152.71,2458.25,2097.25
2016-11-18,125.5625,160.73,123.28,152.65,2531.5,2132.75
2016-11-25,125.203125,161.36,123.97,152.31,2811.0,2390.0
2016-12-02,125.234375,161.0,124.34,153.2,2654.0,2259.0
2016-12-09,124.796875,161.86,123.85,149.91,2696.75,2309.25
2016-12-16,123.609375,162.19,123.69,150.45,2711.25,2230.25
2016-12-23,123.359375,163.66,124.95,151.56,2569.25,2061.25
2016-12-30,124.28125,164.15,125.83,151.82,2563.5,2003.5
2017-01-06,124.40625,162.84,124.33,150.17,2604.5,2043.75
2017-01-13,124.78125,163.41,124.47,150.52,2773.25,2308.0
2017-01-20,124.21875,162.29,123.83,149.31,2761.0,2308.5
2017-01-27,124.171875,161.85,123.33,147.99,2741.5,2288.25
2017-02-03,124.28125,162.49,124.53,147.47,2792.75,2329.75
2017-02-10,124.78125,163.91,125.6,147.98,2934.5,2419.0
2017-02-17,124.703125,164.43,126.41,148.18,2805.25,2246.75
2017-02-24,125.609375,166.21,128.12,149.61,2827.5,2257.5
2017-03-03,124.171875,163.98,127.82,149.29,2770.0,2248.25
2017-03-10,123.65625,159.01,127.25,145.03,2688.0,2258.5
2017-03-17,124.390625,159.82,127.37,145.25,2876.0,2285.5
2017-03-24,124.53125,160.22,127.76,146.72,2820.25,2349.5
2017-03-31,124.5625,161.42,127.58,147.04,2756.25,2335.75
2017-04-07,124.8125,162.85,128.25,148.08,2665.5,2248.75
2017-04-14,126.078125,163.54,128.65,147.83,2610.5,2239.75
2017-04-21,126.0625,162.74,128.74,148.04,2574.5,2140.5
2017-04-28,125.71875,161.78,128.27,149.84,2614.5,2250.5
2017-05-05,125.21875,160.46,127.84,149.76,2574.5,2178.25
2017-05-12,125.46875,160.88,128.18,149.9,2549.0,2119.75
2017-05-19,126.1875,161.3,128.29,150.47,2612.0,2086.75
2017-05-26,126.1875,161.79,129.19,151.13,2633.0,2114.75
2017-06-02,126.890625,162.69,128.82,151.84,2517.5,2098.25
2017-06-09,126.65625,164.87,129.22,150.54,2517.0,2082.5
2017-06-16,126.921875,164.73,129.18,150.72,2512.5,2091.5
2017-06-23,126.734375,165.07,129.06,151.04,2706.0,2222.0
2017-06-30,125.53125,161.87,125.57,148.48,2756.75,2282.0
2017-07-07,124.84375,160.49,125.11,147.09,2793.0,2282.25
2017-07-14,125.671875,161.14,125.04,147.9,2785.25,2296.0
2017-07-21,126.3125,162.48,126.63,149.28,2748.0,2223.75
2017-07-28,125.953125,161.98,126.15,148.73,2768.0,2305.0
2017-08-04,126.078125,163.13,126.73,149.54,2802.0,2346.25
2017-08-11,126.8125,164.54,127.91,150.33,2883.25,2305.75
2017-08-18,126.75,164.36,127.8,150.14,3126.5,2346.25
2017-08-25,126.875,164.77,128.08,150.22,3059.5,2306.25
2017-09-01,126.953125,164.86,127.98,150.53,3186.5,2371.75
2017-09-08,127.75,162.96,128.72,156.83,3030.25,2237.25
2017-09-15,126.59375,161.19,125.17,155.5,3043.0,2332.25
2017-09-22,125.734375,161.12,124.78,155.3,3044.0,2486.5
2017-09-29,125.3125,161.01,123.88,155.14,3185.25,2494.0
2017-10-06,125.03125,161.16,123.89,155.32,3274.5,2519.5
2017-10-13,125.703125,162.02,123.9,156.46,3291.0,2518.75
2017-10-20,124.828125,161.44,124.38,155.91,3127.0,2461.5
2017-10-27,124.59375,162.38,124.09,156.89,3215.0,2418.25
2017-11-03,125.15625,162.74,125.12,157.53,3247.0,2462.25
2017-11-10,124.703125,162.19,124.31,157.19,3261.25,2514.75
2017-11-17,124.90625,162.86,124.72,158.26,3200.5,2433.0
2017-11-24,124.96875,162.86,125.32,158.48,3253.75,2479.25
2017-12-01,124.671875,163.8,125.55,159.81,3256.0,2550.5
2017-12-08,124.515625,163.48,125.07,157.47,3084.5,2448.75
2017-12-15,124.640625,163.47,126.39,157.37,3203.0,2545.5
2017-12-22,123.46875,161.77,125.51,155.82,3270.75,2481.25
2017-12-29,124.046875,161.68,125.16,155.18,3335.0,2482.75
2018-01-05,123.515625,161.59,124.65,155.23,3380.0,2539.75
2018-01-12,122.9375,160.38,123.6,154.28,3433.5,2538.75
