Leader,Follower,Cat_Leader,Cat_Follower,Intra_Inter,Best_Lag,Best_Pvalue,Best_Fstat,Significant,Pvals_by_lag,Frequency,Pval_Bonferroni,Sig_Bonferroni,Pval_BH,Sig_BH,Significant_Final
HANGSENG,DAX,Indices,Indices,Intra,5,0.002999,3.6012,True,"{1: 0.0595, 2: 0.0208, 3: 0.0068, 4: 0.0076, 5: 0.003}",Daily,1.0,False,0.007494971332209106,True,True
ZINC,EURGBP,Commodites,FX_G10,Inter,1,0.003021,8.8101,True,"{1: 0.003, 2: 0.0119, 3: 0.0308, 4: 0.0187, 5: 0.0232}",Daily,1.0,False,0.007537242424242424,True,True
NZDUSD,DAX,FX_G10,Indices,Inter,2,0.003052,5.8037,True,"{1: 0.9227, 2: 0.0031, 3: 0.0048, 4: 0.0103, 5: 0.0179}",Daily,1.0,False,0.0076017882352941175,True,True
USDCHF,USDCAD,FX_G10,FX_G10,Intra,3,0.003089,4.6336,True,"{1: 0.239, 2: 0.2906, 3: 0.0031, 4: 0.0064, 5: 0.0109}",Daily,1.0,False,0.007681036912751678,True,True
NAT_GAS,RX_BUND,Commodites,Bonds,Inter,1,0.003129,8.7459,True,"{1: 0.0031, 2: 0.0127, 3: 0.0327, 4: 0.0573, 5: 0.0351}",Daily,1.0,False,0.007764391304347826,True,True
G_GILT,USDNOK,Bonds,FX_G10,Inter,3,0.003133,4.6235,True,"{1: 0.082, 2: 0.0204, 3: 0.0031, 4: 0.0036, 5: 0.0079}",Daily,1.0,False,0.007764391304347826,True,True
ASX200,DOWJONES,Indices,Indices,Intra,5,0.003147,3.5785,True,"{1: 0.4855, 2: 0.0306, 3: 0.0625, 4: 0.0034, 5: 0.0031}",Daily,1.0,False,0.007786066777963272,True,True
WTI_CRUDE,NASDAQ100,Commodites,Indices,Inter,4,0.003164,3.9833,True,"{1: 0.3431, 2: 0.3214, 3: 0.0293, 4: 0.0032, 5: 0.0069}",Daily,1.0,False,0.00781508,True,True
DAX,FTSE100,Indices,Indices,Intra,2,0.003263,5.7367,True,"{1: 0.7527, 2: 0.0033, 3: 0.009, 4: 0.0215, 5: 0.0421}",Daily,1.0,False,0.008046199667221298,True,True
GBPUSD,DAX,FX_G10,Indices,Inter,5,0.003305,3.5552,True,"{1: 0.0728, 2: 0.0638, 3: 0.0746, 4: 0.0059, 5: 0.0033}",Daily,1.0,False,0.008136229235880399,True,True
DOWJONES,GOLD,Indices,Commodites,Inter,4,0.003385,3.9453,True,"{1: 0.2899, 2: 0.0083, 3: 0.005, 4: 0.0034, 5: 0.0078}",Daily,1.0,False,0.008319353233830845,True,True
EUROSTOXX50,PLATINUM,Indices,Commodites,Inter,5,0.003466,3.5327,True,"{1: 0.0108, 2: 0.0067, 3: 0.0175, 4: 0.036, 5: 0.0035}",Daily,1.0,False,0.008504324503311258,True,True
TY_US10Y,EURGBP,Bonds,FX_G10,Inter,5,0.003519,3.5254,True,"{1: 0.0086, 2: 0.0209, 3: 0.0062, 4: 0.0138, 5: 0.0035}",Daily,1.0,False,0.008620095867768594,True,True
AUDUSD,ASX200,FX_G10,Indices,Inter,1,0.00355,8.515,True,"{1: 0.0035, 2: 0.0286, 3: 0.0612, 4: 0.0309, 5: 0.0394}",Daily,1.0,False,0.008681683168316833,True,True
OAT_FRANCE,HANGSENG,Bonds,Indices,Inter,3,0.00368,4.5083,True,"{1: 0.0102, 2: 0.0121, 3: 0.0037, 4: 0.0092, 5: 0.0188}",Daily,1.0,False,0.008982039408866995,True,True
G_GILT,DOWJONES,Bonds,Indices,Inter,3,0.003689,4.5065,True,"{1: 0.0848, 2: 0.0155, 3: 0.0037, 4: 0.0043, 5: 0.0118}",Daily,1.0,False,0.008982039408866995,True,True
GBPJPY,EURJPY,FX_G10,FX_G10,Intra,2,0.003691,5.6129,True,"{1: 0.0095, 2: 0.0037, 3: 0.0103, 4: 0.0204, 5: 0.0281}",Daily,1.0,False,0.008982039408866995,True,True
GBPUSD,SP500,FX_G10,Indices,Inter,1,0.003737,8.4213,True,"{1: 0.0037, 2: 0.0879, 3: 0.1825, 4: 0.1463, 5: 0.1094}",Daily,1.0,False,0.009079072131147541,True,True
EURGBP,EURJPY,FX_G10,FX_G10,Intra,2,0.003781,5.5889,True,"{1: 0.0212, 2: 0.0038, 3: 0.0075, 4: 0.0153, 5: 0.0287}",Daily,1.0,False,0.009170936170212767,True,True
DAX,OAT_FRANCE,Indices,Bonds,Inter,3,0.003879,4.4705,True,"{1: 0.4432, 2: 0.0043, 3: 0.0039, 4: 0.0092, 5: 0.01}",Daily,1.0,False,0.009393264705882353,True,True
EURUSD,EUROSTOXX50,FX_G10,Indices,Inter,2,0.003938,5.5481,True,"{1: 0.0623, 2: 0.0039, 3: 0.0097, 4: 0.0053, 5: 0.006}",Daily,1.0,False,0.009520580750407829,True,True
AUDJPY,NAT_GAS,FX_G10,Commodites,Inter,5,0.004032,3.4608,True,"{1: 0.9731, 2: 0.7416, 3: 0.8213, 4: 0.0779, 5: 0.004}",Daily,1.0,False,0.009731960912052117,True,True
BRENT_CRUDE,EUROSTOXX50,Commodites,Indices,Inter,1,0.004068,8.2668,True,"{1: 0.0041, 2: 0.0158, 3: 0.0066, 4: 0.0043, 5: 0.0103}",Daily,1.0,False,0.009778317666126418,True,True
TY_US10Y,GOLD,Bonds,Commodites,Inter,1,0.004068,8.2669,True,"{1: 0.0041, 2: 0.012, 3: 0.0291, 4: 0.037, 5: 0.0402}",Daily,1.0,False,0.009778317666126418,True,True
BRENT_CRUDE,ZINC,Commodites,Commodites,Intra,2,0.004071,5.5145,True,"{1: 0.0058, 2: 0.0041, 3: 0.014, 4: 0.0223, 5: 0.0342}",Daily,1.0,False,0.009778317666126418,True,True
CAC40,OAT_FRANCE,Indices,Bonds,Inter,2,0.004153,5.4946,True,"{1: 0.3664, 2: 0.0042, 3: 0.0058, 4: 0.0138, 5: 0.0114}",Daily,1.0,False,0.009959135922330097,True,True
CAC40,EURCHF,Indices,FX_G10,Inter,5,0.00424,3.4368,True,"{1: 0.0104, 2: 0.0239, 3: 0.0153, 4: 0.0143, 5: 0.0042}",Daily,1.0,False,0.010151340872374797,True,True
G_GILT,NASDAQ100,Bonds,Indices,Inter,3,0.004335,4.3907,True,"{1: 0.0977, 2: 0.1381, 3: 0.0043, 4: 0.008, 5: 0.0178}",Daily,1.0,False,0.010362048387096775,True,True
G_GILT,AUDUSD,Bonds,FX_G10,Inter,1,0.004387,8.1293,True,"{1: 0.0044, 2: 0.0183, 3: 0.012, 4: 0.027, 5: 0.0334}",Daily,1.0,False,0.010469305466237942,True,True
NAT_GAS,GBPUSD,Commodites,FX_G10,Inter,1,0.004394,8.1263,True,"{1: 0.0044, 2: 0.0083, 3: 0.0209, 4: 0.0149, 5: 0.0303}",Daily,1.0,False,0.010469305466237942,True,True
VIX,GOLD,Indices,Commodites,Inter,1,0.004527,8.0722,True,"{1: 0.0045, 2: 0.0082, 3: 0.0113, 4: 0.0256, 5: 0.0352}",Daily,1.0,False,0.010768882825040127,True,True
DAX,VIX,Indices,Indices,Intra,5,0.004554,3.4028,True,"{1: 0.6473, 2: 0.0254, 3: 0.0094, 4: 0.0065, 5: 0.0046}",Daily,1.0,False,0.01081575,True,True
CAC40,FTSE100,Indices,Indices,Intra,2,0.004594,5.3934,True,"{1: 0.9889, 2: 0.0046, 3: 0.0081, 4: 0.0169, 5: 0.0293}",Daily,1.0,False,0.010893292800000001,True,True
OAT_FRANCE,SP500,Bonds,Indices,Inter,4,0.004624,3.7681,True,"{1: 0.0912, 2: 0.0048, 3: 0.0071, 4: 0.0046, 5: 0.0123}",Daily,1.0,False,0.01094691373801917,True,True
ASX200,SP500,Indices,Indices,Intra,5,0.004652,3.3925,True,"{1: 0.5418, 2: 0.0816, 3: 0.1349, 4: 0.0054, 5: 0.0047}",Daily,1.0,False,0.010995636363636364,True,True
AUDJPY,WTI_CRUDE,FX_G10,Commodites,Inter,5,0.004672,3.3905,True,"{1: 0.4273, 2: 0.3647, 3: 0.6551, 4: 0.5108, 5: 0.0047}",Daily,1.0,False,0.011025324840764331,True,True
GBPUSD,FTSE100,FX_G10,Indices,Inter,5,0.004723,3.3853,True,"{1: 0.1163, 2: 0.0123, 3: 0.0107, 4: 0.0051, 5: 0.0047}",Daily,1.0,False,0.011127958664546899,True,True
OAT_FRANCE,CAC40,Bonds,Indices,Inter,1,0.004745,7.9867,True,"{1: 0.0047, 2: 0.0086, 3: 0.013, 4: 0.0265, 5: 0.0405}",Daily,1.0,False,0.011156101426307448,True,True
PLATINUM,RUSSELL2000,Commodites,Indices,Inter,3,0.00475,4.3252,True,"{1: 0.547, 2: 0.0127, 3: 0.0047, 4: 0.0144, 5: 0.0271}",Daily,1.0,False,0.011156101426307448,True,True
AUDJPY,RUSSELL2000,FX_G10,Indices,Inter,1,0.004869,7.9401,True,"{1: 0.0049, 2: 0.2571, 3: 0.2293, 4: 0.0465, 5: 0.0486}",Daily,1.0,False,0.011417496835443037,True,True
USDNOK,AUDUSD,FX_G10,FX_G10,Intra,4,0.004959,3.7282,True,"{1: 0.0876, 2: 0.2294, 3: 0.0106, 4: 0.005, 5: 0.0102}",Daily,1.0,False,0.011610170616113745,True,True
USDNOK,GOLD,FX_G10,Commodites,Inter,5,0.005106,3.3481,True,"{1: 0.754, 2: 0.073, 3: 0.0503, 4: 0.0058, 5: 0.0051}",Daily,1.0,False,0.011935476340694008,True,True
USDCAD,WTI_CRUDE,FX_G10,Commodites,Inter,5,0.005122,3.3466,True,"{1: 0.8287, 2: 0.3622, 3: 0.6208, 4: 0.8614, 5: 0.0051}",Daily,1.0,False,0.011954022047244094,True,True
USDCHF,USDSEK,FX_G10,FX_G10,Intra,5,0.005133,3.3456,True,"{1: 0.0422, 2: 0.1235, 3: 0.0622, 4: 0.0769, 5: 0.0051}",Daily,1.0,False,0.011960858490566039,True,True
SILVER,CAC40,Commodites,Indices,Inter,1,0.00515,7.8381,True,"{1: 0.0052, 2: 0.0053, 3: 0.0121, 4: 0.0226, 5: 0.0498}",Daily,1.0,False,0.011981632653061224,True,True
EURGBP,ASX200,FX_G10,Indices,Inter,1,0.00519,7.824,True,"{1: 0.0052, 2: 0.0229, 3: 0.0375, 4: 0.0192, 5: 0.0174}",Daily,1.0,False,0.01205576802507837,True,True
NASDAQ100,GOLD,Indices,Commodites,Inter,3,0.005278,4.2495,True,"{1: 0.1203, 2: 0.007, 3: 0.0053, 4: 0.0067, 5: 0.0115}",Daily,1.0,False,0.012240995305164318,True,True
BRENT_CRUDE,DAX,Commodites,Indices,Inter,1,0.005289,7.7899,True,"{1: 0.0053, 2: 0.0216, 3: 0.0063, 4: 0.006, 5: 0.0156}",Daily,1.0,False,0.012247340625,True,True
LEAD,RUSSELL2000,Commodites,Indices,Inter,2,0.0053,5.2497,True,"{1: 0.1924, 2: 0.0053, 3: 0.0122, 4: 0.0324, 5: 0.0096}",Daily,1.0,False,0.012253666146645867,True,True
SILVER,EUROSTOXX50,Commodites,Indices,Inter,1,0.005352,7.7686,True,"{1: 0.0054, 2: 0.0071, 3: 0.0113, 4: 0.0243, 5: 0.0564}",Daily,1.0,False,0.012354616822429908,True,True
HANGSENG,ASX200,Indices,Indices,Intra,1,0.005451,7.7353,True,"{1: 0.0055, 2: 0.0365, 3: 0.052, 4: 0.1085, 5: 0.0108}",Daily,1.0,False,0.012563580093312599,True,True
PLATINUM,GOLD,Commodites,Commodites,Intra,2,0.005475,5.2172,True,"{1: 0.3551, 2: 0.0055, 3: 0.0145, 4: 0.0256, 5: 0.0078}",Daily,1.0,False,0.012599301242236025,True,True
DOWJONES,G_GILT,Indices,Bonds,Inter,4,0.005499,3.6692,True,"{1: 0.0195, 2: 0.0058, 3: 0.0074, 4: 0.0055, 5: 0.0119}",Daily,1.0,False,0.012634911627906979,True,True
OAT_FRANCE,ZINC,Bonds,Commodites,Inter,1,0.005621,7.6796,True,"{1: 0.0056, 2: 0.0227, 3: 0.0504, 4: 0.0211, 5: 0.042}",Daily,1.0,False,0.012895235294117647,True,True
TY_US10Y,USDCAD,Bonds,FX_G10,Inter,1,0.005678,7.6616,True,"{1: 0.0057, 2: 0.0145, 3: 0.0331, 4: 0.0584, 5: 0.012}",Daily,1.0,False,0.013005867078825346,True,True
AUDUSD,WTI_CRUDE,FX_G10,Commodites,Inter,5,0.005791,3.2877,True,"{1: 0.5548, 2: 0.3225, 3: 0.6549, 4: 0.7892, 5: 0.0058}",Daily,1.0,False,0.013244231481481482,True,True
SILVER,PLATINUM,Commodites,Commodites,Intra,1,0.005803,7.6221,True,"{1: 0.0058, 2: 0.0176, 3: 0.0187, 4: 0.0399, 5: 0.0528}",Daily,1.0,False,0.013251226502311248,True,True
GBPJPY,DOWJONES,FX_G10,Indices,Inter,1,0.005824,7.6155,True,"{1: 0.0058, 2: 0.5209, 3: 0.6283, 4: 0.5773, 5: 0.2549}",Daily,1.0,False,0.01327872,True,True
AUDUSD,USDCHF,FX_G10,FX_G10,Intra,1,0.005847,7.6084,True,"{1: 0.0058, 2: 0.0186, 3: 0.036, 4: 0.055, 5: 0.052}",Daily,1.0,False,0.01331068202764977,True,True
NAT_GAS,NZDUSD,Commodites,FX_G10,Inter,2,0.005963,5.1314,True,"{1: 0.0062, 2: 0.006, 3: 0.0157, 4: 0.0162, 5: 0.0184}",Daily,1.0,False,0.013553935582822087,True,True
OAT_FRANCE,FTSE100,Bonds,Indices,Inter,3,0.006004,4.1568,True,"{1: 0.0118, 2: 0.0111, 3: 0.006, 4: 0.0104, 5: 0.02}",Daily,1.0,False,0.013625788990825689,True,True
USDCAD,SP500,FX_G10,Indices,Inter,1,0.006013,7.5578,True,"{1: 0.006, 2: 0.2518, 3: 0.4712, 4: 0.0324, 5: 0.0084}",Daily,1.0,False,0.013625788990825689,True,True
ASX200,ZINC,Indices,Commodites,Inter,2,0.006068,5.114,True,"{1: 0.0104, 2: 0.0061, 3: 0.0166, 4: 0.0183, 5: 0.0329}",Daily,1.0,False,0.013729429007633586,True,True
GBPJPY,ASX200,FX_G10,Indices,Inter,1,0.006112,7.5282,True,"{1: 0.0061, 2: 0.0491, 3: 0.0637, 4: 0.1039, 5: 0.0299}",Daily,1.0,False,0.01380790243902439,True,True
CAC40,USDCHF,Indices,FX_G10,Inter,5,0.006398,3.2398,True,"{1: 0.0547, 2: 0.0463, 3: 0.0204, 4: 0.0146, 5: 0.0064}",Daily,1.0,False,0.014432018264840182,True,True
TY_US10Y,RUSSELL2000,Bonds,Indices,Inter,3,0.006466,4.1034,True,"{1: 0.0302, 2: 0.0336, 3: 0.0065, 4: 0.0099, 5: 0.0209}",Daily,1.0,False,0.014563240121580548,True,True
USDSEK,PLATINUM,FX_G10,Commodites,Inter,5,0.006738,3.2149,True,"{1: 0.6193, 2: 0.0343, 3: 0.0985, 4: 0.0509, 5: 0.0067}",Daily,1.0,False,0.015152831562974204,True,True
COPPER,EURCHF,Commodites,FX_G10,Inter,2,0.006905,4.9842,True,"{1: 0.0484, 2: 0.0069, 3: 0.013, 4: 0.0248, 5: 0.0626}",Daily,1.0,False,0.015485891074130106,True,True
NZDUSD,OAT_FRANCE,FX_G10,Bonds,Inter,5,0.006907,3.203,True,"{1: 0.1017, 2: 0.1019, 3: 0.0836, 4: 0.0646, 5: 0.0069}",Daily,1.0,False,0.015485891074130106,True,True
DAX,NAT_GAS,Indices,Commodites,Inter,5,0.006937,3.2009,True,"{1: 0.3026, 2: 0.2786, 3: 0.3178, 4: 0.0549, 5: 0.0069}",Daily,1.0,False,0.015529658610271902,True,True
COPPER,LEAD,Commodites,Commodites,Intra,2,0.006956,4.9769,True,"{1: 0.0674, 2: 0.007, 3: 0.0145, 4: 0.0313, 5: 0.0567}",Daily,1.0,False,0.015548705882352942,True,True
