Leader,Follower,Cat_Leader,Cat_Follower,Best_AbsCorr,Lead_Days,Lag_Gain,Intra_Inter,Lag_Significant,Score_Lag,Granger_Significant,Score_Granger,VAR_Confirmed,Score_VAR,Score_Final,N_Methods,Robustesse
VIX,GBPJPY,Indices,FX_G10,0.2983,1,0.2841,Inter,True,0.48194678534889074,True,1.0,False,0.0,0.5186813748721117,2,Modérée
NASDAQ100,NZDUSD,Indices,FX_G10,0.2943,1,0.2857,Inter,True,0.4764172048675113,True,1.0,False,0.0,0.5167460217036289,2,Modérée
TY_US10Y,USDCHF,Bonds,FX_G10,0.2955,1,0.2794,Inter,True,0.47270087699247276,True,1.0,False,0.0,0.5154453069473655,2,Modérée
GOLD,USDCHF,Commodites,FX_G10,0.3093,1,0.245,Inter,True,0.4651051058866025,True,1.0,False,0.0,0.5127867870603109,2,Modérée
TY_US10Y,GBPJPY,Bonds,FX_G10,0.2891,1,0.2749,Inter,True,0.45733311415743183,True,1.0,False,0.0,0.5100665899551011,2,Modérée
COPPER,USDCAD,Commodites,FX_G10,0.3079,1,0.236,Inter,True,0.45434038307791963,True,1.0,False,0.0,0.5090191340772718,2,Modérée
EUROSTOXX50,AUDJPY,Indices,FX_G10,0.3409,1,0.1723,Inter,True,0.45331892342690416,True,1.0,False,0.0,0.5086616231994164,2,Modérée
DOWJONES,NZDUSD,Indices,FX_G10,0.2987,1,0.2507,Inter,True,0.4518001359869608,True,1.0,False,0.0,0.5081300475954362,2,Modérée
RUSSELL2000,USDNOK,Indices,FX_G10,0.2854,1,0.2753,Inter,True,0.45122079204359766,True,1.0,False,0.0,0.5079272772152592,2,Modérée
PLATINUM,NZDUSD,Commodites,FX_G10,0.3142,1,0.2196,Inter,True,0.45023026202165944,True,1.0,False,0.0,0.5075805917075807,2,Modérée
PLATINUM,USDSEK,Commodites,FX_G10,0.2925,1,0.2538,Inter,True,0.4438019022635135,True,1.0,False,0.0,0.5053306657922297,2,Modérée
GOLD,USDSEK,Commodites,FX_G10,0.2882,1,0.2587,Inter,True,0.4407945692978963,True,1.0,False,0.0,0.5042780992542637,2,Modérée
