Asset1,Asset2,Cat1,Cat2,Intra_Inter,Corr_Lag0,Corr_Lag-5,Corr_Lag-4,Corr_Lag-3,Corr_Lag-2,Corr_Lag-1,Corr_Lag+1,Corr_Lag+2,Corr_Lag+3,Corr_Lag+4,Corr_Lag+5,Best_Lag,Best_Corr,Best_AbsCorr,Leader,Follower,Lead_Days,Lag_Gain
ASX200,RUSSELL2000,Indices,Indices,Intra,0.2678,0.0808,0.0027,0.0099,0.0907,0.3428,-0.0554,0.0593,-0.0242,-0.011,0.0241,-1,0.3428,0.3428,RUSSELL2000,ASX200,1,0.075
AUDJPY,EUROSTOXX50,FX_G10,Indices,Inter,0.1686,0.0014,0.0156,0.0521,0.015,0.3409,0.0046,-0.0173,-0.0485,0.0214,-0.0251,-1,0.3409,0.3409,EUROSTOXX50,AUDJPY,1,0.1723
BRENT_CRUDE,USDCAD,Commodites,FX_G10,Inter,-0.0676,-0.059,0.007,-0.0301,0.0103,-0.0037,-0.3405,0.0245,0.0187,-0.0274,-0.0294,1,-0.3405,0.3405,BRENT_CRUDE,USDCAD,1,0.2729
AUDJPY,CAC40,FX_G10,Indices,Inter,0.1658,0.0082,0.0057,0.0497,0.0277,0.3322,0.0098,-0.0112,-0.0538,0.0159,-0.0301,-1,0.3322,0.3322,CAC40,AUDJPY,1,0.1664
GBPJPY,RUSSELL2000,FX_G10,Indices,Inter,0.0077,-0.0036,0.0011,0.0364,-0.012,0.3303,0.0482,-0.0102,0.0055,-0.021,-0.0178,-1,0.3303,0.3303,RUSSELL2000,GBPJPY,1,0.3226
GOLD,NZDUSD,Commodites,FX_G10,Inter,0.0569,-0.0357,0.0118,-0.0308,-0.0316,-0.01,0.33,0.0154,0.0043,0.0208,0.0461,1,0.33,0.33,GOLD,NZDUSD,1,0.2731
USDCAD,NASDAQ100,FX_G10,Indices,Inter,0.0153,0.0397,-0.0344,0.0307,-0.0088,-0.3299,-0.0367,0.018,-0.0017,0.0473,-0.0055,-1,-0.3299,0.3299,NASDAQ100,USDCAD,1,0.3146
ASX200,SP500,Indices,Indices,Intra,0.2875,0.0796,-0.0184,-0.0084,0.0833,0.3286,-0.0477,0.0466,-0.004,-0.0464,0.036,-1,0.3286,0.3286,SP500,ASX200,1,0.0411
AUDUSD,GOLD,FX_G10,Commodites,Inter,0.0646,0.0431,0.0141,0.0037,0.0185,0.3273,0.0099,-0.0346,-0.0276,0.0128,-0.026,-1,0.3273,0.3273,GOLD,AUDUSD,1,0.2627
AUDJPY,DAX,FX_G10,Indices,Inter,0.1713,-0.0,0.0153,0.0603,0.007,0.3254,-0.0022,-0.0054,-0.0383,0.0142,-0.0362,-1,0.3254,0.3254,DAX,AUDJPY,1,0.1541
NZDUSD,SILVER,FX_G10,Commodites,Inter,0.0642,0.0337,0.0117,0.0466,0.0345,0.3245,0.0095,-0.0275,-0.0146,-0.0076,-0.0178,-1,0.3245,0.3245,SILVER,NZDUSD,1,0.2603
RX_BUND,EURJPY,Bonds,FX_G10,Inter,-0.0523,-0.0172,-0.0087,-0.0128,-0.0204,0.0081,-0.3207,0.007,-0.0032,-0.0133,-0.0248,1,-0.3207,0.3207,RX_BUND,EURJPY,1,0.2684
AUDJPY,FTSE100,FX_G10,Indices,Inter,0.1606,0.0129,0.0252,0.0272,0.0172,0.3207,-0.0021,-0.0169,-0.063,0.0209,-0.0311,-1,0.3207,0.3207,FTSE100,AUDJPY,1,0.1601
NZDUSD,SP500,FX_G10,Indices,Inter,0.0369,-0.0124,-0.0021,0.0438,0.0242,0.3206,0.0193,-0.0451,0.0145,-0.008,0.0062,-1,0.3206,0.3206,SP500,NZDUSD,1,0.2837
WTI_CRUDE,USDCAD,Commodites,FX_G10,Inter,-0.0494,-0.0742,0.0068,-0.018,0.0251,-0.004,-0.3187,0.0035,0.0278,-0.0189,-0.0226,1,-0.3187,0.3187,WTI_CRUDE,USDCAD,1,0.2693
USDCAD,VIX,FX_G10,Indices,Inter,0.0038,-0.0186,0.0376,-0.0252,0.0044,0.3162,-0.0066,-0.0363,-0.0087,-0.019,0.007,-1,0.3162,0.3162,VIX,USDCAD,1,0.3124
NZDUSD,PLATINUM,FX_G10,Commodites,Inter,0.0946,0.014,-0.0005,0.0216,0.0311,0.3142,-0.007,-0.0258,-0.0095,-0.008,-0.0367,-1,0.3142,0.3142,PLATINUM,NZDUSD,1,0.2196
AUDUSD,VIX,FX_G10,Indices,Inter,-0.008,-0.0051,-0.0159,-0.031,-0.0319,-0.312,-0.0077,0.0565,-0.0208,0.0102,-0.0011,-1,-0.312,0.312,VIX,AUDUSD,1,0.304
GBPJPY,EUROSTOXX50,FX_G10,Indices,Inter,0.1111,-0.0074,0.0284,0.0549,0.0128,0.3099,0.0084,-0.0228,-0.0258,-0.0193,-0.0282,-1,0.3099,0.3099,EUROSTOXX50,GBPJPY,1,0.1988
NZDUSD,RUSSELL2000,FX_G10,Indices,Inter,0.0332,-0.0012,0.0095,0.0373,0.0433,0.3099,0.0084,-0.0437,0.0143,-0.0223,0.0079,-1,0.3099,0.3099,RUSSELL2000,NZDUSD,1,0.2767
GOLD,USDCHF,Commodites,FX_G10,Inter,-0.0643,0.0171,-0.0095,-0.0045,0.016,-0.0084,-0.3093,-0.0397,-0.0147,-0.0284,-0.0103,1,-0.3093,0.3093,GOLD,USDCHF,1,0.245
ASX200,NASDAQ100,Indices,Indices,Intra,0.2214,0.076,-0.0216,-0.0085,0.067,0.3082,-0.0434,0.0296,-0.019,-0.0236,0.0171,-1,0.3082,0.3082,NASDAQ100,ASX200,1,0.0868
COPPER,USDCAD,Commodites,FX_G10,Inter,-0.0719,0.008,-0.0038,-0.0261,-0.0003,-0.0107,-0.3079,-0.014,0.0044,-0.0059,-0.0026,1,-0.3079,0.3079,COPPER,USDCAD,1,0.236
COPPER,NZDUSD,Commodites,FX_G10,Inter,0.0811,0.0097,0.006,0.0138,-0.0025,0.0127,0.3058,0.023,0.0083,-0.0067,-0.0018,1,0.3058,0.3058,COPPER,NZDUSD,1,0.2247
GBPJPY,CAC40,FX_G10,Indices,Inter,0.1072,-0.0036,0.0313,0.0475,0.0221,0.3014,0.0117,-0.0135,-0.0297,-0.0196,-0.0327,-1,0.3014,0.3014,CAC40,GBPJPY,1,0.1942
TY_US10Y,EURJPY,Bonds,FX_G10,Inter,-0.0167,-0.0506,0.0214,-0.0357,0.0042,-0.007,-0.2996,0.0022,0.0023,-0.0128,0.0004,1,-0.2996,0.2996,TY_US10Y,EURJPY,1,0.2829
NZDUSD,DOWJONES,FX_G10,Indices,Inter,0.048,-0.007,-0.0003,0.0546,0.0206,0.2987,0.0286,-0.0502,0.0055,-0.0041,0.0071,-1,0.2987,0.2987,DOWJONES,NZDUSD,1,0.2507
GBPJPY,VIX,FX_G10,Indices,Inter,-0.0142,-0.0043,-0.0162,-0.0349,0.0035,-0.2983,0.0018,0.0262,-0.0049,0.0438,0.013,-1,-0.2983,0.2983,VIX,GBPJPY,1,0.2841
GBPJPY,NASDAQ100,FX_G10,Indices,Inter,-0.0069,-0.0085,-0.0042,0.0498,-0.0382,0.296,0.0443,-0.0138,0.0086,-0.0195,-0.0351,-1,0.296,0.296,NASDAQ100,GBPJPY,1,0.2891
TY_US10Y,USDCHF,Bonds,FX_G10,Inter,-0.0161,-0.015,0.0217,0.0167,0.0159,0.0055,-0.2955,-0.0085,-0.0153,0.0184,-0.035,1,-0.2955,0.2955,TY_US10Y,USDCHF,1,0.2794
NZDUSD,NASDAQ100,FX_G10,Indices,Inter,0.0086,-0.0088,0.0001,0.0268,0.0202,0.2943,0.0067,-0.0364,0.0138,-0.0023,0.0039,-1,0.2943,0.2943,NASDAQ100,NZDUSD,1,0.2857
PLATINUM,USDSEK,Commodites,FX_G10,Inter,-0.0387,0.044,-0.0312,0.0099,0.0434,-0.0077,-0.2925,-0.0019,-0.0503,-0.0119,0.0041,1,-0.2925,0.2925,PLATINUM,USDSEK,1,0.2538
