Asset1,Asset2,Cat1,Cat2,Intra_Inter,Corr_Static,Mean_1M,Std_1M,Min_1M,Max_1M,Range_1M,Mean_3M,Std_3M,Min_3M,Max_3M,Range_3M,Mean_6M,Std_6M,Min_6M,Max_6M,Range_6M,AbsCorr_Static,Stability,Stability_empirique,Score_Corr,Score_Stab,Score_Total
NAT_GAS,NZDUSD,Commodites,FX_G10,Inter,0.0125,0.005,0.2176,-0.546,0.6395,1.1855,0.0074,0.1277,-0.33,0.4152,0.7452,0.0079,0.0895,-0.2681,0.2557,0.5238,0.0125,Stable,Stable,0.02941868674982349,0.869740376007162,0.36554736245275893
AUDUSD,SP500,FX_G10,Indices,Inter,0.0269,0.0269,0.2217,-0.6763,0.7661,1.4423,0.0359,0.1391,-0.3157,0.4385,0.7542,0.038,0.1111,-0.2681,0.3164,0.5845,0.0269,Stable,Stable,0.06330901388562014,0.8187108325872874,0.36546974136628707
USDCHF,FTSE100,FX_G10,Indices,Inter,0.0553,0.0459,0.2364,-0.6894,0.883,1.5724,0.0472,0.1615,-0.3196,0.5973,0.9169,0.0578,0.1323,-0.2608,0.493,0.7538,0.0553,Moderate,Moderate,0.1301482701812191,0.7184422560429722,0.36546586452592034
BRENT_CRUDE,EURJPY,Commodites,FX_G10,Inter,-0.013,-0.0311,0.2257,-0.6684,0.6056,1.274,-0.023,0.1282,-0.3628,0.345,0.7078,-0.0245,0.0799,-0.2142,0.2116,0.4257,0.013,Stable,Stable,0.030595434219816427,0.8675022381378692,0.36535815578703756
GBPJPY,GOLD,FX_G10,Commodites,Inter,-0.0145,-0.0214,0.2187,-0.6283,0.6475,1.2758,-0.0257,0.1294,-0.3383,0.3266,0.6649,-0.027,0.1022,-0.2512,0.2406,0.4918,0.0145,Stable,Stable,0.034125676629795244,0.8621307072515667,0.36532768887850386
G_GILT,HANGSENG,Bonds,Indices,Inter,-0.0504,-0.1002,0.2393,-0.6871,0.5837,1.2709,-0.097,0.1578,-0.5236,0.3269,0.8505,-0.0944,0.1208,-0.3527,0.2205,0.5732,0.0504,Moderate,Moderate,0.1186161449752883,0.7350044762757386,0.3651714774954684
ZINC,EURGBP,Commodites,FX_G10,Inter,-0.036,-0.0366,0.2448,-0.7609,0.5966,1.3575,-0.0412,0.1467,-0.4471,0.4136,0.8607,-0.0445,0.0988,-0.3427,0.2161,0.5589,0.036,Stable,Moderate,0.08472581783949164,0.7846911369740376,0.36471194549331004
USDSEK,CAC40,FX_G10,Indices,Inter,-0.0159,-0.0081,0.2265,-0.7628,0.6046,1.3674,-0.0189,0.1311,-0.3356,0.3775,0.7132,-0.0216,0.0821,-0.2201,0.179,0.3992,0.0159,Stable,Stable,0.03742056954577548,0.8545210384959714,0.3642607571258539
USDSEK,DAX,FX_G10,Indices,Inter,-0.0252,-0.0221,0.2328,-0.6065,0.6824,1.2889,-0.0294,0.1387,-0.4368,0.3673,0.8041,-0.0304,0.0886,-0.2665,0.1859,0.4524,0.0252,Stable,Stable,0.05930807248764415,0.8205013428827216,0.36378538064567517
OAT_FRANCE,USDNOK,Bonds,FX_G10,Inter,-0.0343,-0.0125,0.2419,-0.6959,0.6385,1.3345,-0.0099,0.146,-0.4172,0.4047,0.822,-0.0161,0.1121,-0.2834,0.2493,0.5327,0.0343,Stable,Moderate,0.08072487644151564,0.7878245299910475,0.36356473786132837
USDNOK,NASDAQ100,FX_G10,Indices,Inter,0.0243,-0.0237,0.2374,-0.7585,0.6838,1.4423,-0.0276,0.1385,-0.3796,0.3728,0.7524,-0.0225,0.0961,-0.2914,0.3029,0.5943,0.0243,Stable,Stable,0.05718992704165686,0.8213965980304386,0.3628725954371696
AUDUSD,WTI_CRUDE,FX_G10,Commodites,Inter,0.0177,0.0195,0.2364,-0.6935,0.6334,1.3269,0.0253,0.1334,-0.4547,0.4032,0.8579,0.0294,0.0987,-0.2422,0.3083,0.5505,0.0177,Stable,Stable,0.04165686043775006,0.8442256042972247,0.3626843579815399
LEAD,EURCHF,Commodites,FX_G10,Inter,-0.0163,0.0283,0.2208,-0.6737,0.5643,1.238,0.0308,0.1323,-0.3324,0.4144,0.7468,0.0365,0.1015,-0.2198,0.3216,0.5414,0.0163,Stable,Stable,0.038361967521769826,0.8491495076096687,0.3626769835569294
USDCHF,NIKKEI225,FX_G10,Indices,Inter,0.1175,0.0951,0.277,-0.7314,0.802,1.5334,0.1029,0.2122,-0.4126,0.6012,1.0138,0.1091,0.1836,-0.309,0.4717,0.7808,0.1175,Moderate,Unstable,0.27653565544834074,0.4914950760966875,0.3625194237076794
USDCHF,NASDAQ100,FX_G10,Indices,Inter,-0.0049,0.0041,0.2313,-0.607,0.7243,1.3313,0.0013,0.1235,-0.3669,0.364,0.7309,0.0036,0.0806,-0.2261,0.2741,0.5002,0.0049,Stable,Stable,0.011532125205930806,0.8885407341092211,0.36233556876724693
