Asset1,Asset2,Cat1,Cat2,Intra_Inter,Corr_Static,Mean_1M,Std_1M,Min_1M,Max_1M,Range_1M,Mean_3M,Std_3M,Min_3M,Max_3M,Range_3M,Mean_6M,Std_6M,Min_6M,Max_6M,Range_6M,AbsCorr_Static,Stability,Stability_empirique,Score_Corr,Score_Stab,Score_Total
USDNOK,NIKKEI225,FX_G10,Indices,Inter,-0.0797,-0.1322,0.2774,-0.8263,0.6093,1.4356,-0.1369,0.1912,-0.5995,0.3906,0.9902,-0.133,0.1573,-0.5159,0.26,0.7759,0.0797,Moderate,Unstable,0.18757354671687454,0.585496866606983,0.3467428746729179
BRENT_CRUDE,USDCHF,Commodites,FX_G10,Inter,0.0232,0.0138,0.2339,-0.7312,0.8302,1.5614,0.0104,0.1468,-0.327,0.6916,1.0186,0.0136,0.1115,-0.2246,0.4691,0.6937,0.0232,Stable,Moderate,0.05460108260767239,0.784243509400179,0.34645805332467505
EURGBP,SP500,FX_G10,Indices,Inter,-0.0036,0.0149,0.239,-0.607,0.6593,1.2663,0.002,0.1317,-0.3239,0.3985,0.7225,-0.0039,0.0887,-0.2255,0.2704,0.496,0.0036,Stable,Stable,0.008472581783949164,0.85183527305282,0.3458176582914975
USDSEK,NASDAQ100,FX_G10,Indices,Inter,0.0229,-0.0079,0.2324,-0.6447,0.6315,1.2762,-0.0119,0.147,-0.3483,0.3875,0.7358,-0.0066,0.1096,-0.2582,0.2968,0.555,0.0229,Stable,Moderate,0.05389503412567663,0.7833482542524619,0.34567632217639077
TY_US10Y,LEAD,Bonds,Commodites,Inter,-0.0235,-0.0346,0.2453,-0.7029,0.672,1.3749,-0.0357,0.1475,-0.3894,0.4542,0.8436,-0.0333,0.1071,-0.3066,0.2888,0.5954,0.0235,Stable,Moderate,0.05530713108966816,0.7811101163831692,0.3456283252070686
G_GILT,LEAD,Bonds,Commodites,Inter,-0.0326,-0.0631,0.2546,-0.6923,0.5945,1.2868,-0.0605,0.1547,-0.4392,0.3521,0.7913,-0.0546,0.1197,-0.3423,0.2545,0.5968,0.0326,Moderate,Moderate,0.07672393504353965,0.7488809310653536,0.34558673345226526
EURUSD,DAX,FX_G10,Indices,Inter,-0.0095,0.0064,0.2402,-0.6912,0.6614,1.3526,0.0104,0.1366,-0.5101,0.3927,0.9028,0.0093,0.0918,-0.368,0.2535,0.6215,0.0095,Stable,Stable,0.02235820192986585,0.8299015219337511,0.34537552993142
BRENT_CRUDE,USDNOK,Commodites,FX_G10,Inter,-0.008,-0.0352,0.2304,-0.6551,0.7658,1.4209,-0.0456,0.1357,-0.5562,0.3231,0.8793,-0.0439,0.0948,-0.445,0.2006,0.6456,0.008,Stable,Stable,0.01882795951988703,0.8339301700984781,0.3448688437513235
EURUSD,SP500,FX_G10,Indices,Inter,0.019,0.0238,0.2403,-0.723,0.6473,1.3703,0.0321,0.1446,-0.3336,0.4393,0.7729,0.0332,0.1007,-0.2436,0.3452,0.5888,0.019,Stable,Moderate,0.0447164038597317,0.7940913160250671,0.3444663687258659
AUDJPY,SP500,FX_G10,Indices,Inter,0.0176,0.0071,0.2295,-0.6437,0.6605,1.3042,0.025,0.1438,-0.4248,0.4708,0.8956,0.0328,0.1103,-0.3603,0.3494,0.7096,0.0176,Stable,Moderate,0.041421510943751474,0.7976723366159355,0.3439218412126251
GBPJPY,DOWJONES,FX_G10,Indices,Inter,0.0087,-0.0042,0.2333,-0.6453,0.6958,1.3411,0.0172,0.1369,-0.3813,0.4495,0.8308,0.0238,0.0906,-0.1923,0.2559,0.4482,0.0087,Stable,Stable,0.020475405977877146,0.8285586392121755,0.34370869927159653
NAT_GAS,ASX200,Commodites,Indices,Inter,0.0201,0.0116,0.2271,-0.6372,0.7752,1.4124,0.0093,0.1459,-0.3674,0.4208,0.7882,0.0028,0.1142,-0.2803,0.3168,0.5971,0.0201,Stable,Moderate,0.04730524829371617,0.788272157564906,0.34369201200219207
RX_BUND,VIX,Bonds,Indices,Inter,0.0637,0.0713,0.286,-0.7957,0.8084,1.6041,0.072,0.1804,-0.5172,0.5545,1.0716,0.0722,0.1346,-0.3508,0.3632,0.714,0.0637,Moderate,Unstable,0.1499176276771005,0.6338406445837064,0.34348683443974287
BRENT_CRUDE,EURCHF,Commodites,FX_G10,Inter,0.0029,-0.0063,0.2447,-0.6452,0.684,1.3292,-0.0012,0.1325,-0.3188,0.4387,0.7576,-0.0005,0.0909,-0.2472,0.2969,0.5441,0.0029,Stable,Stable,0.006825135325959048,0.8482542524619516,0.34339678218035613
GOLD,ASX200,Commodites,Indices,Inter,0.0318,-0.0026,0.2462,-0.7102,0.6131,1.3234,-0.0032,0.1555,-0.4568,0.3887,0.8455,0.0023,0.1107,-0.2852,0.2861,0.5713,0.0318,Moderate,Moderate,0.07484113909155096,0.7452999104744853,0.34302464764472473
EURGBP,COPPER,FX_G10,Commodites,Inter,0.0048,0.0153,0.2359,-0.719,0.6526,1.3716,0.0095,0.1343,-0.3973,0.376,0.7733,0.0055,0.0898,-0.2267,0.2167,0.4434,0.0048,Stable,Stable,0.011296775711932218,0.8401969561324978,0.34285684788015847
G_GILT,USDCAD,Bonds,FX_G10,Inter,-0.0193,0.0096,0.2415,-0.673,0.7138,1.3868,0.0022,0.1459,-0.3951,0.3349,0.73,-0.0055,0.1172,-0.2754,0.2523,0.5277,0.0193,Stable,Moderate,0.04542245234172747,0.788272157564906,0.34256233443099887
GBPJPY,SP500,FX_G10,Indices,Inter,0.0085,-0.0045,0.2314,-0.6363,0.6712,1.3074,0.0179,0.1374,-0.4039,0.452,0.856,0.0246,0.0935,-0.2042,0.261,0.4652,0.0085,Stable,Stable,0.020004706989879974,0.8263205013428827,0.3425310247310811
TY_US10Y,ZINC,Bonds,Commodites,Inter,-0.0404,-0.0578,0.2452,-0.7661,0.6865,1.4526,-0.0528,0.1629,-0.4962,0.4123,0.9084,-0.0563,0.1242,-0.431,0.2617,0.6927,0.0404,Moderate,Moderate,0.0950811955754295,0.7121754700089526,0.34191890534883873
EURJPY,FTSE100,FX_G10,Indices,Inter,0.0548,0.0175,0.2517,-0.7683,0.7109,1.4792,0.0406,0.1745,-0.4642,0.478,0.9422,0.0585,0.1328,-0.2601,0.3864,0.6465,0.0548,Moderate,Unstable,0.12897152271122617,0.6602506714413608,0.34148318220328006
OAT_FRANCE,LEAD,Bonds,Commodites,Inter,-0.0165,-0.0086,0.2306,-0.6091,0.7258,1.3349,-0.0108,0.1444,-0.3972,0.5536,0.9507,-0.0152,0.1052,-0.33,0.3166,0.6466,0.0165,Stable,Moderate,0.03883266650976701,0.7949865711727843,0.341294228374974
GBPUSD,FTSE100,FX_G10,Indices,Inter,-0.0006,-0.0262,0.2304,-0.7355,0.7066,1.4421,-0.0132,0.132,-0.31,0.4542,0.7642,-0.007,0.1078,-0.2501,0.327,0.5771,0.0006,Stable,Stable,0.0014120969639915273,0.8504923903312444,0.3410442143108927
USDCAD,NASDAQ100,FX_G10,Indices,Inter,0.0153,-0.0005,0.2389,-0.6647,0.701,1.3657,-0.0075,0.1436,-0.3885,0.3735,0.7621,-0.0035,0.1091,-0.3089,0.2962,0.605,0.0153,Stable,Moderate,0.03600847258178395,0.7985675917636526,0.3410321202545314
G_GILT,EURCHF,Bonds,FX_G10,Inter,-0.0012,-0.0215,0.2228,-0.5348,0.8559,1.3907,-0.0225,0.1325,-0.3926,0.5342,0.9267,-0.0191,0.0951,-0.2627,0.3794,0.6421,0.0012,Stable,Stable,0.0028241939279830546,0.8482542524619516,0.34099621734157054
USDCHF,RUSSELL2000,FX_G10,Indices,Inter,-0.0112,-0.009,0.2463,-0.6731,0.6862,1.3593,-0.008,0.1406,-0.3906,0.4584,0.849,-0.0064,0.0978,-0.2997,0.3142,0.6138,0.0112,Stable,Stable,0.026359143327841845,0.8119964189794091,0.3406140535884688
GBPJPY,VIX,FX_G10,Indices,Inter,-0.0142,0.0082,0.2345,-0.6887,0.6694,1.3581,-0.0085,0.143,-0.5107,0.4016,0.9123,-0.0156,0.0921,-0.3491,0.2217,0.5708,0.0142,Stable,Moderate,0.03341962814779948,0.8012533572068039,0.3405531197714013
EURGBP,VIX,FX_G10,Indices,Inter,0.012,-0.0131,0.2321,-0.7156,0.6447,1.3604,-0.0081,0.1413,-0.4293,0.3358,0.7651,-0.0029,0.09,-0.302,0.2103,0.5123,0.012,Stable,Stable,0.028241939279830548,0.8088630259623992,0.340490373952858
G_GILT,VIX,Bonds,Indices,Inter,0.0582,0.0769,0.2779,-0.6356,0.7613,1.3969,0.0772,0.1779,-0.3841,0.5201,0.9041,0.0787,0.1309,-0.2488,0.4166,0.6655,0.0582,Moderate,Unstable,0.13697340550717815,0.6450313339301701,0.34019657687637495
LEAD,USDJPY,Commodites,FX_G10,Inter,-0.0148,-0.0307,0.2255,-0.6626,0.5681,1.2307,-0.0201,0.144,-0.3762,0.3664,0.7425,-0.0138,0.103,-0.2734,0.2617,0.5351,0.0148,Stable,Moderate,0.03483172511179101,0.7967770814682185,0.33960986765436196
AUDJPY,NASDAQ100,FX_G10,Indices,Inter,-0.0111,-0.0085,0.2312,-0.7186,0.632,1.3507,0.0041,0.1411,-0.4091,0.4631,0.8722,0.007,0.1147,-0.3373,0.3328,0.6702,0.0111,Stable,Stable,0.026123793833843258,0.8097582811101164,0.3395775887443525
OAT_FRANCE,USDCAD,Bonds,FX_G10,Inter,0.0007,0.0092,0.2328,-0.6407,0.7789,1.4195,-0.0005,0.1336,-0.3737,0.5066,0.8803,-0.0079,0.0956,-0.2678,0.2458,0.5136,0.0007,Stable,Stable,0.0016474464579901153,0.8433303491495077,0.33832060753459714
USDCAD,VIX,FX_G10,Indices,Inter,0.0038,0.0009,0.2294,-0.586,0.6803,1.2663,0.0122,0.1361,-0.406,0.3056,0.7116,0.0131,0.0987,-0.2579,0.2535,0.5114,0.0038,Stable,Stable,0.00894328077194634,0.8321396598030438,0.33822183238438536
NZDUSD,NASDAQ100,FX_G10,Indices,Inter,0.0086,0.0253,0.2181,-0.6878,0.6877,1.3754,0.0284,0.1401,-0.3464,0.3797,0.726,0.0234,0.1139,-0.3002,0.2759,0.5761,0.0086,Stable,Stable,0.020240056483878558,0.8142345568487018,0.3378378566298079
EURCHF,FTSE100,FX_G10,Indices,Inter,0.0432,0.0405,0.2462,-0.6498,0.7879,1.4376,0.0689,0.1674,-0.413,0.545,0.958,0.0888,0.1284,-0.2905,0.4357,0.7262,0.0432,Moderate,Unstable,0.10167098140738998,0.6920322291853178,0.33781548051856114
EURJPY,DOWJONES,FX_G10,Indices,Inter,0.0081,0.0093,0.2332,-0.7004,0.7069,1.4073,0.0218,0.1398,-0.3911,0.4912,0.8823,0.0266,0.0931,-0.2979,0.3726,0.6705,0.0081,Stable,Stable,0.01906330901388562,0.8155774395702775,0.33766896123644236
RX_BUND,FTSE100,Bonds,Indices,Inter,-0.1329,-0.0987,0.3371,-0.9209,0.777,1.6979,-0.1008,0.2383,-0.7479,0.4509,1.1988,-0.1132,0.1752,-0.5079,0.3065,0.8144,0.1329,Moderate,Unstable,0.31277947752412333,0.374664279319606,0.33753339824231643
EURGBP,DOWJONES,FX_G10,Indices,Inter,-0.0015,0.0216,0.2332,-0.6094,0.7551,1.3645,0.0073,0.1347,-0.3038,0.3934,0.6972,0.0011,0.0891,-0.2348,0.2492,0.484,0.0015,Stable,Stable,0.0035302424099788185,0.8384064458370636,0.3374807237808128
USDNOK,SP500,FX_G10,Indices,Inter,-0.0097,-0.0284,0.2401,-0.794,0.7118,1.5058,-0.0341,0.1414,-0.4477,0.3295,0.7772,-0.0327,0.0936,-0.2791,0.2561,0.5352,0.0097,Stable,Stable,0.022828900917863028,0.8084153983885407,0.3370634999061341
EURJPY,GOLD,FX_G10,Commodites,Inter,-0.0041,-0.0189,0.2217,-0.5754,0.6983,1.2737,-0.0195,0.1378,-0.3544,0.3566,0.711,-0.0199,0.1015,-0.2948,0.1623,0.457,0.0041,Stable,Stable,0.009649329253942105,0.8245299910474485,0.33560159397134465
AUDJPY,VIX,FX_G10,Indices,Inter,-0.0142,0.0133,0.2325,-0.7484,0.7259,1.4743,-0.0028,0.1458,-0.547,0.4044,0.9514,-0.0122,0.109,-0.3883,0.2741,0.6624,0.0142,Stable,Moderate,0.03341962814779948,0.7887197851387645,0.3355396909441855
G_GILT,ZINC,Bonds,Commodites,Inter,-0.0374,-0.0859,0.2642,-0.7879,0.6699,1.4578,-0.0801,0.1643,-0.4822,0.3312,0.8135,-0.0767,0.1285,-0.421,0.1827,0.6037,0.0374,Moderate,Moderate,0.08802071075547188,0.7059086839749329,0.33517590004325626
USDJPY,SP500,FX_G10,Indices,Inter,-0.0101,-0.007,0.2311,-0.6219,0.6569,1.2788,0.0057,0.143,-0.3311,0.4105,0.7417,0.01,0.1075,-0.2863,0.2588,0.5451,0.0101,Stable,Moderate,0.023770298893857376,0.8012533572068039,0.334763522219036
EURCHF,VIX,FX_G10,Indices,Inter,-0.0221,-0.0471,0.2404,-0.6709,0.5735,1.2444,-0.0598,0.1525,-0.467,0.4278,0.8948,-0.068,0.1113,-0.3494,0.2798,0.6293,0.0221,Moderate,Moderate,0.05201223817368793,0.7587287376902417,0.33469883798030947
GBPUSD,VIX,FX_G10,Indices,Inter,-0.0081,0.0022,0.2419,-0.6459,0.6965,1.3424,-0.0073,0.1415,-0.4216,0.5063,0.9278,-0.0093,0.0999,-0.2467,0.3476,0.5943,0.0081,Stable,Moderate,0.01906330901388562,0.8079677708146822,0.33462509373420424
GBPJPY,NASDAQ100,FX_G10,Indices,Inter,-0.0069,-0.0055,0.2399,-0.6933,0.7019,1.3951,0.0096,0.1409,-0.349,0.4784,0.8274,0.011,0.0991,-0.2671,0.2346,0.5017,0.0069,Stable,Stable,0.016239115085902565,0.8106535362578335,0.334004883554675
ZINC,EURCHF,Commodites,FX_G10,Inter,-0.0076,0.0214,0.2293,-0.825,0.7309,1.5559,0.0166,0.1415,-0.4068,0.3735,0.7803,0.0189,0.0976,-0.2314,0.2661,0.4975,0.0076,Stable,Moderate,0.01788656154389268,0.8079677708146822,0.3339190452522085
EURCHF,DOWJONES,FX_G10,Indices,Inter,0.0162,0.0376,0.2356,-0.5567,0.7168,1.2735,0.0497,0.1487,-0.3909,0.4224,0.8133,0.0538,0.1063,-0.2333,0.2983,0.5315,0.0162,Stable,Moderate,0.03812661802777124,0.7757385854968666,0.3331714050154094
TY_US10Y,EURCHF,Bonds,FX_G10,Inter,-0.0052,-0.0159,0.2385,-0.6585,0.6506,1.3091,-0.0274,0.1402,-0.3366,0.4327,0.7692,-0.0308,0.0963,-0.2385,0.3,0.5384,0.0052,Stable,Stable,0.01223817368792657,0.8137869292748434,0.33285767592269333
USDJPY,DOWJONES,FX_G10,Indices,Inter,-0.0118,-0.0023,0.2325,-0.6323,0.6783,1.3106,0.0071,0.1455,-0.3188,0.4481,0.7669,0.0094,0.1113,-0.2986,0.2656,0.5643,0.0118,Stable,Moderate,0.027771240291833373,0.7900626678603402,0.3326878113192361
BRENT_CRUDE,USDSEK,Commodites,FX_G10,Inter,0.0077,-0.0141,0.2395,-0.6835,0.6844,1.368,-0.0123,0.1425,-0.3793,0.3471,0.7264,-0.0056,0.1076,-0.2774,0.243,0.5205,0.0077,Stable,Moderate,0.018121911037891267,0.8034914950760967,0.3322697446531735
EURCHF,NAT_GAS,FX_G10,Commodites,Inter,0.0062,0.0061,0.2381,-0.757,0.6526,1.4096,0.0056,0.1414,-0.4445,0.4082,0.8527,0.0056,0.0993,-0.2686,0.28,0.5485,0.0062,Stable,Stable,0.01459166862791245,0.8084153983885407,0.3321211605321638
PLATINUM,USDJPY,Commodites,FX_G10,Inter,-0.0239,-0.048,0.2517,-0.775,0.6414,1.4164,-0.0448,0.1555,-0.5081,0.3732,0.8813,-0.0424,0.115,-0.3277,0.2681,0.5958,0.0239,Moderate,Moderate,0.05624852906566251,0.7452999104744853,0.33186908162919165
TY_US10Y,USDNOK,Bonds,FX_G10,Inter,0.0181,0.0122,0.2393,-0.6707,0.7287,1.3994,0.0119,0.1512,-0.3687,0.48,0.8487,0.0123,0.1172,-0.3008,0.422,0.7227,0.0181,Moderate,Moderate,0.042598258413744414,0.7645478961504029,0.3313781135084078
USDJPY,RUSSELL2000,FX_G10,Indices,Inter,-0.0124,-0.0255,0.2362,-0.5911,0.6478,1.2388,-0.0145,0.1468,-0.3464,0.4606,0.8069,-0.0075,0.0997,-0.271,0.2775,0.5485,0.0124,Stable,Moderate,0.0291833372558249,0.784243509400179,0.3312074061135665
AUDUSD,VIX,FX_G10,Indices,Inter,-0.008,-0.0026,0.2292,-0.6768,0.6242,1.301,-0.0097,0.1435,-0.3392,0.455,0.7942,-0.0139,0.1066,-0.2748,0.3501,0.6248,0.008,Stable,Moderate,0.01882795951988703,0.7990152193375112,0.3309028634469367
USDNOK,RUSSELL2000,FX_G10,Indices,Inter,0.0101,-0.0061,0.2479,-0.8217,0.6089,1.4306,-0.0177,0.1453,-0.4118,0.3686,0.7803,-0.021,0.094,-0.3298,0.1819,0.5117,0.0101,Stable,Moderate,0.023770298893857376,0.7909579230080572,0.3306453485395373
USDJPY,VIX,FX_G10,Indices,Inter,-0.0071,0.0062,0.2371,-0.7048,0.7069,1.4117,-0.0076,0.1431,-0.4905,0.3894,0.8799,-0.0111,0.1019,-0.358,0.2609,0.6189,0.0071,Stable,Moderate,0.01670981407389974,0.8008057296329454,0.330348180297518
EURCHF,RUSSELL2000,FX_G10,Indices,Inter,0.0097,0.0315,0.2371,-0.6685,0.7032,1.3717,0.0432,0.1455,-0.3469,0.4349,0.7818,0.0459,0.1012,-0.2253,0.2801,0.5054,0.0097,Stable,Moderate,0.022828900917863028,0.7900626678603402,0.3297224076948539
GOLD,HANGSENG,Commodites,Indices,Inter,0.0441,0.0192,0.261,-0.7613,0.7117,1.473,0.0213,0.1727,-0.53,0.3531,0.8831,0.0246,0.1351,-0.358,0.2804,0.6384,0.0441,Moderate,Unstable,0.10378912685337727,0.6683079677708147,0.3295966632203522
USDCHF,SP500,FX_G10,Indices,Inter,-0.0056,0.0024,0.2448,-0.6996,0.7503,1.4499,0.0029,0.1426,-0.3727,0.388,0.7606,0.0054,0.1,-0.2951,0.3175,0.6126,0.0056,Stable,Moderate,0.013179571663920923,0.8030438675022381,0.32912528999924784
TY_US10Y,EURGBP,Bonds,FX_G10,Inter,-0.0093,-0.0102,0.2414,-0.7954,0.6837,1.4791,-0.0042,0.1456,-0.5081,0.391,0.899,0.0019,0.1029,-0.286,0.2361,0.5221,0.0093,Stable,Moderate,0.021887502941868673,0.7896150402864817,0.3289785178797139
EURCHF,NASDAQ100,FX_G10,Indices,Inter,0.0047,0.0336,0.2398,-0.7803,0.6515,1.4318,0.0395,0.1421,-0.3241,0.3593,0.6835,0.0422,0.1035,-0.2475,0.2774,0.5249,0.0047,Stable,Moderate,0.011061426217933632,0.8052820053715308,0.32874965787937255
G_GILT,NIKKEI225,Bonds,Indices,Inter,-0.0357,-0.0745,0.2586,-0.8053,0.7322,1.5375,-0.0738,0.1669,-0.532,0.5177,1.0497,-0.069,0.1261,-0.449,0.3561,0.8051,0.0357,Moderate,Unstable,0.08401976935749589,0.6942703670546106,0.32812000843634176
AUDUSD,NASDAQ100,FX_G10,Indices,Inter,-0.0018,0.0069,0.218,-0.6503,0.6942,1.3444,0.0148,0.1405,-0.3849,0.4299,0.8148,0.0145,0.1151,-0.3427,0.2625,0.6052,0.0018,Stable,Stable,0.004236290891974582,0.8124440465532676,0.3275193931564918
EURJPY,NASDAQ100,FX_G10,Indices,Inter,-0.0058,0.0032,0.249,-0.677,0.7416,1.4186,0.0119,0.1437,-0.364,0.5078,0.8718,0.0122,0.1011,-0.3001,0.3801,0.6802,0.0058,Stable,Moderate,0.013650270651918097,0.7981199641897941,0.3274381480670685
EURGBP,RUSSELL2000,FX_G10,Indices,Inter,-0.0025,0.0155,0.2376,-0.5826,0.793,1.3756,0.0007,0.1413,-0.3659,0.3853,0.7512,-0.006,0.0978,-0.3415,0.3146,0.656,0.0025,Stable,Stable,0.005883737349964698,0.8088630259623992,0.32707545279493855
EURGBP,GOLD,FX_G10,Commodites,Inter,-0.0034,0.0114,0.2416,-0.7134,0.7193,1.4327,0.0127,0.1425,-0.3706,0.4684,0.839,0.0138,0.1005,-0.2843,0.2542,0.5385,0.0034,Stable,Moderate,0.008001882795951988,0.8034914950760967,0.3261977277080099
TY_US10Y,GBPUSD,Bonds,FX_G10,Inter,0.0104,0.0029,0.2469,-0.762,0.7884,1.5504,-0.0001,0.1483,-0.4209,0.3994,0.8203,-0.0012,0.1209,-0.2498,0.2726,0.5224,0.0104,Stable,Moderate,0.02447634737585314,0.7775290957923009,0.32569744674243223
USDCAD,SP500,FX_G10,Indices,Inter,-0.0079,-0.0124,0.2421,-0.6524,0.6416,1.294,-0.0246,0.1464,-0.4044,0.3872,0.7916,-0.0247,0.1059,-0.3217,0.2191,0.5408,0.0079,Stable,Moderate,0.018592610025888447,0.7860340196956133,0.32556917389377843
TY_US10Y,VIX,Bonds,Indices,Inter,0.1636,0.1392,0.3597,-0.772,0.8509,1.6229,0.163,0.2692,-0.5754,0.5987,1.1741,0.1748,0.2233,-0.3727,0.4875,0.8603,0.1636,Unstable,Unstable,0.3850317721816898,0.2363473589973143,0.3255580069079396
USDNOK,VIX,FX_G10,Indices,Inter,-0.0038,-0.0024,0.2449,-0.6514,0.7719,1.4233,-0.0,0.1433,-0.4755,0.4561,0.9316,0.0017,0.0915,-0.3462,0.2507,0.5968,0.0038,Stable,Moderate,0.00894328077194634,0.7999104744852282,0.3253301582572591
WTI_CRUDE,USDCHF,Commodites,FX_G10,Inter,0.003,0.0217,0.2315,-0.7049,0.8125,1.5174,0.017,0.1427,-0.389,0.666,1.055,0.0186,0.1048,-0.2836,0.4526,0.7362,0.003,Stable,Moderate,0.007060484819957637,0.8025962399283796,0.32527478686332645
TY_US10Y,USDSEK,Bonds,FX_G10,Inter,-0.0188,-0.0036,0.2485,-0.7673,0.6304,1.3977,-0.003,0.1553,-0.5679,0.3728,0.9407,-0.0035,0.1177,-0.2894,0.2803,0.5697,0.0188,Moderate,Moderate,0.04424570487173453,0.7461951656222023,0.3250254891719217
OAT_FRANCE,ZINC,Bonds,Commodites,Inter,-0.0293,-0.0495,0.2584,-0.7518,0.6782,1.43,-0.0465,0.1641,-0.4757,0.4816,0.9573,-0.0469,0.1195,-0.3404,0.202,0.5425,0.0293,Moderate,Moderate,0.06895740174158625,0.7068039391226499,0.3240960166940117
OAT_FRANCE,EURUSD,Bonds,FX_G10,Inter,0.0315,0.0282,0.2587,-0.8039,0.6604,1.4643,0.0284,0.1659,-0.4274,0.4382,0.8657,0.0337,0.1268,-0.2996,0.3453,0.6449,0.0315,Moderate,Moderate,0.07413509060955518,0.6987466427931961,0.3239797114830116
RX_BUND,EUROSTOXX50,Bonds,Indices,Inter,-0.1395,-0.1517,0.3506,-0.8805,0.7147,1.5952,-0.1533,0.2511,-0.703,0.5408,1.2438,-0.1625,0.1836,-0.5368,0.4947,1.0315,0.1395,Unstable,Unstable,0.3283125441280302,0.3173679498657118,0.32393470642310285
TY_US10Y,AUDJPY,Bonds,FX_G10,Inter,-0.0192,-0.0122,0.2294,-0.6672,0.63,1.2972,-0.0225,0.1563,-0.5249,0.4036,0.9285,-0.0314,0.1246,-0.3654,0.2882,0.6536,0.0192,Moderate,Moderate,0.04518710284772887,0.7417188898836169,0.3237998176620841
SILVER,EUROSTOXX50,Commodites,Indices,Inter,0.1309,0.0888,0.3161,-0.7569,0.7834,1.5403,0.0884,0.2447,-0.5073,0.61,1.1173,0.0938,0.2012,-0.3712,0.5542,0.9254,0.1309,Moderate,Unstable,0.3080724876441515,0.3460161145926589,0.3232499384235545
OAT_FRANCE,USDCHF,Bonds,FX_G10,Inter,-0.0396,-0.0264,0.2571,-0.7188,0.6445,1.3632,-0.031,0.1727,-0.4527,0.4272,0.8799,-0.0398,0.1289,-0.3552,0.2209,0.5761,0.0396,Moderate,Unstable,0.09319839962344081,0.6683079677708147,0.32324222688239035
GBPJPY,RUSSELL2000,FX_G10,Indices,Inter,0.0077,-0.0178,0.2385,-0.7492,0.6311,1.3803,0.0054,0.1479,-0.3566,0.4163,0.773,0.0149,0.1073,-0.2129,0.2882,0.5012,0.0077,Stable,Moderate,0.018121911037891267,0.779319606087735,0.32260098905782875
EURJPY,SP500,FX_G10,Indices,Inter,0.0032,0.0045,0.2414,-0.6038,0.6938,1.2977,0.0192,0.1452,-0.3832,0.5028,0.8859,0.0237,0.0967,-0.2846,0.3756,0.6602,0.0032,Stable,Moderate,0.007531183807954814,0.7914055505819159,0.3210809305175393
EURJPY,RUSSELL2000,FX_G10,Indices,Inter,0.0066,-0.0103,0.2402,-0.6494,0.7412,1.3906,0.0062,0.1479,-0.3709,0.4552,0.8261,0.0142,0.0945,-0.228,0.2464,0.4743,0.0066,Stable,Moderate,0.015533066603906801,0.779319606087735,0.3210476823974381
RX_BUND,ASX200,Bonds,Indices,Inter,0.0032,-0.0262,0.2419,-0.753,0.6029,1.3558,-0.0135,0.1459,-0.4479,0.4079,0.8558,-0.0131,0.1044,-0.2985,0.2648,0.5633,0.0032,Stable,Moderate,0.007531183807954814,0.788272157564906,0.3198275733107353
TY_US10Y,USDCHF,Bonds,FX_G10,Inter,-0.0161,-0.0023,0.241,-0.7576,0.6971,1.4547,-0.0146,0.1561,-0.4574,0.3666,0.824,-0.0214,0.1201,-0.3522,0.2822,0.6343,0.0161,Moderate,Moderate,0.03789126853377265,0.7426141450313339,0.31978041913279714
NZDUSD,VIX,FX_G10,Indices,Inter,-0.0082,-0.0064,0.2278,-0.6483,0.6913,1.3396,-0.011,0.1501,-0.3838,0.4359,0.8197,-0.0116,0.1168,-0.3039,0.3254,0.6294,0.0082,Moderate,Moderate,0.01929865850788421,0.7694717994628468,0.3193679148898693
TY_US10Y,EURUSD,Bonds,FX_G10,Inter,0.0137,-0.0094,0.258,-0.7041,0.7875,1.4916,-0.0057,0.1546,-0.3784,0.4786,0.8571,-0.0014,0.1173,-0.2893,0.308,0.5973,0.0137,Moderate,Moderate,0.03224288067780654,0.7493285586392122,0.3190771518623688
TY_US10Y,GBPJPY,Bonds,FX_G10,Inter,-0.0142,0.0025,0.2421,-0.7836,0.6994,1.483,-0.0162,0.155,-0.5193,0.3554,0.8746,-0.0243,0.1256,-0.3365,0.3015,0.638,0.0142,Moderate,Moderate,0.03341962814779948,0.7475380483437779,0.3190669962261909
USDSEK,NIKKEI225,FX_G10,Indices,Inter,-0.0859,-0.0798,0.2984,-0.7768,0.7255,1.5023,-0.0864,0.2116,-0.6253,0.4807,1.106,-0.0884,0.1812,-0.5102,0.3076,0.8178,0.0859,Moderate,Unstable,0.202165215344787,0.49418084153983877,0.3189714658228077
EURCHF,SP500,FX_G10,Indices,Inter,0.0093,0.0344,0.2409,-0.6252,0.7096,1.3348,0.0461,0.1515,-0.4033,0.361,0.7643,0.051,0.1081,-0.2552,0.2871,0.5423,0.0093,Moderate,Moderate,0.021887502941868673,0.7632050134288272,0.3184145071366521
TY_US10Y,USDCAD,Bonds,FX_G10,Inter,0.0044,0.0285,0.2396,-0.6665,0.657,1.3236,0.0253,0.1478,-0.4673,0.4159,0.8832,0.0186,0.1158,-0.2642,0.3329,0.5971,0.0044,Stable,Moderate,0.010355377735937869,0.7797672336615936,0.31812012010620017
USDSEK,SP500,FX_G10,Indices,Inter,0.011,-0.0164,0.2453,-0.7021,0.6759,1.3781,-0.0214,0.1531,-0.3643,0.3738,0.7381,-0.0174,0.1049,-0.3003,0.2244,0.5247,0.011,Moderate,Moderate,0.025888444339844666,0.7560429722470904,0.317950255502743
