Asset1,Asset2,Cat1,Cat2,Intra_Inter,Corr_Lag0,Corr_Lag-5,Corr_Lag-4,Corr_Lag-3,Corr_Lag-2,Corr_Lag-1,Corr_Lag+1,Corr_Lag+2,Corr_Lag+3,Corr_Lag+4,Corr_Lag+5,Best_Lag,Best_Corr,Best_AbsCorr,Leader,Follower,Lead_Days,Lag_Gain
TY_US10Y,USDNOK,Bonds,FX_G10,Inter,0.0181,0.0262,0.0092,0.0086,0.0028,-0.046,-0.0601,0.0466,0.0023,-0.0994,0.0679,4,-0.0994,0.0994,TY_US10Y,USDNOK,4,0.0813
TY_US10Y,USDSEK,Bonds,FX_G10,Inter,-0.0188,0.0171,0.023,-0.0025,-0.0039,0.0198,-0.1799,-0.0096,0.0097,0.007,-0.0069,1,-0.1799,0.1799,TY_US10Y,USDSEK,1,0.1611
TY_US10Y,ASX200,Bonds,Indices,Inter,-0.0837,-0.0585,0.0286,0.0015,0.0093,0.0086,0.0099,0.0141,0.0151,0.0463,-0.0204,0,-0.0837,0.0837,Contemporain,Contemporain,0,0.0
TY_US10Y,DOWJONES,Bonds,Indices,Inter,-0.1763,-0.048,0.036,0.0097,-0.0055,0.0555,0.0631,-0.0277,0.0437,0.0347,-0.0026,0,-0.1763,0.1763,Contemporain,Contemporain,0,0.0
TY_US10Y,CAC40,Bonds,Indices,Inter,-0.1966,-0.0218,0.0103,0.0159,0.0315,0.0361,-0.0017,-0.006,0.0261,0.0257,-0.0198,0,-0.1966,0.1966,Contemporain,Contemporain,0,0.0
TY_US10Y,FTSE100,Bonds,Indices,Inter,-0.1969,-0.0256,0.0327,0.0188,0.0296,0.029,0.0139,0.0212,0.0346,0.0313,-0.037,0,-0.1969,0.1969,Contemporain,Contemporain,0,0.0
TY_US10Y,DAX,Bonds,Indices,Inter,-0.1815,-0.023,0.0108,0.0242,0.0334,0.0246,-0.0069,0.0017,0.0204,0.0121,-0.0194,0,-0.1815,0.1815,Contemporain,Contemporain,0,0.0
TY_US10Y,SP500,Bonds,Indices,Inter,-0.1538,-0.051,0.0387,0.0157,-0.0088,0.0588,0.0569,-0.0223,0.0475,0.0361,0.0044,0,-0.1538,0.1538,Contemporain,Contemporain,0,0.0
TY_US10Y,HANGSENG,Bonds,Indices,Inter,-0.0882,-0.0312,0.0173,-0.0102,0.0119,0.0107,0.0077,0.0136,0.031,0.0261,-0.0059,0,-0.0882,0.0882,Contemporain,Contemporain,0,0.0
TY_US10Y,NIKKEI225,Bonds,Indices,Inter,-0.0817,-0.0279,0.0159,0.0019,0.018,0.0021,-0.1342,0.0002,0.0163,0.0068,0.0038,1,-0.1342,0.1342,TY_US10Y,NIKKEI225,1,0.0525
TY_US10Y,NASDAQ100,Bonds,Indices,Inter,-0.1042,-0.0431,0.0309,0.0119,-0.0126,0.0547,0.0479,-0.0117,0.0373,0.0347,0.0136,0,-0.1042,0.1042,Contemporain,Contemporain,0,0.0
TY_US10Y,RUSSELL2000,Bonds,Indices,Inter,-0.1289,-0.0534,0.024,0.0075,-0.0057,0.0363,0.0518,-0.0449,0.0502,0.0156,-0.013,0,-0.1289,0.1289,Contemporain,Contemporain,0,0.0
TY_US10Y,EUROSTOXX50,Bonds,Indices,Inter,-0.1924,-0.0238,0.0133,0.0215,0.0262,0.0324,-0.0037,-0.004,0.0308,0.022,-0.0188,0,-0.1924,0.1924,Contemporain,Contemporain,0,0.0
TY_US10Y,VIX,Bonds,Indices,Inter,0.1636,0.0229,-0.0119,-0.0127,0.0233,-0.036,-0.0353,0.0226,-0.0161,-0.0311,-0.0246,0,0.1636,0.1636,Contemporain,Contemporain,0,0.0
RX_BUND,G_GILT,Bonds,Bonds,Intra,0.6644,0.0106,-0.0405,0.0167,-0.0119,0.0183,0.0509,0.0261,-0.0086,0.014,-0.0047,0,0.6644,0.6644,Contemporain,Contemporain,0,0.0
RX_BUND,OAT_FRANCE,Bonds,Bonds,Intra,0.7484,0.0172,-0.004,0.0098,-0.0106,0.0183,0.0034,-0.0112,0.0094,0.02,0.0258,0,0.7484,0.7484,Contemporain,Contemporain,0,0.0
RX_BUND,ZINC,Bonds,Commodites,Inter,-0.0497,-0.011,-0.0338,-0.0018,0.0352,0.008,0.0379,-0.0097,0.0164,0.0234,0.016,0,-0.0497,0.0497,Contemporain,Contemporain,0,0.0
RX_BUND,LEAD,Bonds,Commodites,Inter,-0.0356,-0.0043,-0.024,0.0155,0.0361,-0.0317,0.0489,0.0182,-0.0206,0.0185,-0.0132,1,0.0489,0.0489,RX_BUND,LEAD,1,0.0133
