sigma,tp,sl,hold,n_trades,mean_ret,win_rate,score
1.0,3.0,1.5,15,3141,-0.00099008,0.4368,-0.022604
2.5,3.0,1.0,20,423,-0.00101919,0.3404,-0.022805
1.25,1.5,2.5,10,2404,-0.00092597,0.5112,-0.022991
1.0,2.0,2.0,15,3223,-0.00097809,0.4766,-0.023467
1.25,3.0,2.5,20,2031,-0.00118472,0.4397,-0.023792
1.0,2.0,1.0,5,3925,-0.0008228,0.4573,-0.023956
1.0,2.0,2.0,5,3593,-0.000902,0.4851,-0.024763
1.0,2.0,1.5,15,3396,-0.00100696,0.4611,-0.024849
1.0,2.0,1.5,10,3451,-0.00098367,0.4668,-0.024897
1.0,2.5,1.5,15,3248,-0.00105929,0.4424,-0.024907
1.0,1.5,1.5,5,3853,-0.00087809,0.4869,-0.025086
2.5,3.0,2.5,10,403,-0.00128446,0.4541,-0.025481
2.5,2.5,2.5,10,407,-0.00124272,0.4742,-0.025531
2.5,3.0,2.0,15,405,-0.00129254,0.437,-0.025687
1.25,2.5,2.5,20,2094,-0.00124796,0.4532,-0.025868
1.25,2.5,2.5,7,2298,-0.00110731,0.4809,-0.026288
2.5,2.5,2.0,20,412,-0.00131208,0.4515,-0.027281
1.25,2.5,2.5,10,2206,-0.00122789,0.4619,-0.027327
1.0,3.0,1.5,5,3564,-0.00103008,0.4677,-0.027343
2.5,1.5,2.5,10,418,-0.00119208,0.5287,-0.027426
1.25,1.5,1.0,20,2804,-0.00099001,0.4404,-0.027517
1.75,3.0,2.5,20,1031,-0.00153905,0.4452,-0.028291
1.25,2.0,2.5,20,2187,-0.00130438,0.4792,-0.02927
1.25,1.5,1.0,15,2806,-0.00106449,0.4405,-0.029694
1.25,2.0,2.5,10,2280,-0.00126892,0.4816,-0.030068
2.5,1.5,1.5,20,436,-0.0012127,0.4862,-0.030389
1.25,1.5,1.0,10,2821,-0.00108496,0.4435,-0.03067
1.0,2.5,1.5,5,3628,-0.00113042,0.4708,-0.030732
1.5,3.0,2.5,20,1468,-0.00168243,0.4455,-0.031651
1.25,2.0,2.5,7,2363,-0.00130186,0.493,-0.032659
1.25,3.0,2.5,15,2069,-0.00160521,0.4379,-0.032942
1.0,2.0,1.5,5,3719,-0.00118944,0.4773,-0.033012
1.5,3.0,1.0,20,1735,-0.00143508,0.3527,-0.033067
1.25,1.5,1.5,20,2613,-0.00134335,0.4864,-0.03419
2.5,2.5,2.5,7,410,-0.00159432,0.4732,-0.035071
2.5,2.5,1.5,20,425,-0.00160142,0.4071,-0.035184
1.25,2.5,2.5,15,2118,-0.0016988,0.449,-0.035809
2.5,3.0,2.0,10,410,-0.00171795,0.439,-0.035976
1.25,1.5,2.0,20,2456,-0.0014925,0.5061,-0.036311
1.25,1.5,1.5,10,2638,-0.00138737,0.4833,-0.036369
2.5,2.5,2.0,15,413,-0.00173356,0.4528,-0.036405
2.5,3.0,2.5,7,406,-0.00169316,0.4655,-0.036427
1.25,1.5,2.0,10,2505,-0.00143627,0.5002,-0.036448
1.25,2.0,2.5,15,2203,-0.00160823,0.4771,-0.036636
2.5,1.5,2.0,20,426,-0.00158244,0.5188,-0.037465
1.5,1.5,1.0,20,1964,-0.00136156,0.4328,-0.037679
1.25,1.5,1.5,7,2677,-0.00139526,0.4886,-0.038048
1.25,1.5,1.0,7,2846,-0.00130993,0.4505,-0.038062
2.5,2.0,1.0,15,432,-0.0015179,0.3981,-0.038338
1.5,3.0,2.5,10,1550,-0.00187998,0.4606,-0.038864
1.25,1.5,2.0,7,2563,-0.0014733,0.5049,-0.038931
2.5,2.0,1.0,20,432,-0.00155741,0.3981,-0.039049
1.5,1.5,1.0,15,1964,-0.00142901,0.4328,-0.039655
1.25,1.5,2.5,5,2575,-0.00144536,0.4959,-0.039698
1.5,3.0,1.0,10,1775,-0.00165686,0.3724,-0.040003
1.5,3.0,2.0,20,1536,-0.00203882,0.431,-0.040109
1.25,3.0,2.0,7,2323,-0.0017098,0.4632,-0.040501
