sigma,tp,sl,hold,n_trades,mean_ret,win_rate,score
1.5,2.0,2.0,15,1684,-0.00398538,0.465,-0.089732
1.5,2.0,1.5,20,1773,-0.00380888,0.4264,-0.090075
1.75,3.0,2.0,7,1162,-0.00405529,0.4372,-0.090514
2.0,2.0,2.0,20,833,-0.00419363,0.4514,-0.090715
1.75,2.5,2.0,15,1140,-0.00436449,0.4237,-0.090867
2.5,2.0,1.5,5,429,-0.00360739,0.4336,-0.090893
1.5,2.0,2.0,7,1753,-0.00372568,0.4706,-0.091125
2.0,2.0,1.0,15,889,-0.00359679,0.3678,-0.091158
1.5,2.0,1.5,15,1776,-0.00382695,0.4285,-0.091206
1.5,2.0,2.0,10,1710,-0.00392711,0.4614,-0.091551
2.0,2.0,1.0,20,889,-0.00362028,0.369,-0.091612
1.75,2.5,1.0,7,1261,-0.003635,0.3759,-0.091728
2.0,3.0,2.5,7,802,-0.00426543,0.4651,-0.092071
1.75,2.0,2.5,10,1157,-0.00422933,0.4633,-0.092413
2.0,1.5,1.5,5,910,-0.00343282,0.4549,-0.092479
1.5,2.0,2.0,5,1816,-0.00359794,0.4659,-0.092773
1.75,3.0,2.0,5,1201,-0.00385905,0.4405,-0.093988
1.75,2.5,1.0,5,1282,-0.00356004,0.3978,-0.094522
2.0,2.5,1.5,15,840,-0.00429993,0.3821,-0.094629
2.0,3.0,2.0,7,820,-0.00423324,0.4451,-0.094708
1.75,2.0,2.0,20,1174,-0.00441782,0.4514,-0.095073
1.75,3.0,1.5,5,1235,-0.00382536,0.4235,-0.095078
1.75,2.5,2.5,5,1201,-0.00395647,0.4488,-0.095254
1.5,2.5,2.0,5,1779,-0.00374214,0.4581,-0.095587
1.75,2.0,1.0,10,1283,-0.00374705,0.3702,-0.095678
1.75,3.0,1.5,10,1167,-0.00432534,0.3856,-0.095815
1.75,2.5,1.5,20,1181,-0.00446564,0.3802,-0.096549
2.0,3.0,1.5,10,831,-0.00436569,0.3911,-0.096741
1.75,2.5,2.5,7,1158,-0.0043781,0.4516,-0.09715
2.0,2.5,2.0,10,824,-0.00444819,0.4333,-0.09717
2.0,2.5,2.5,7,816,-0.004426,0.4694,-0.097464
2.0,1.5,2.0,5,893,-0.0037449,0.4692,-0.097701
1.75,2.5,2.0,10,1162,-0.0045344,0.4294,-0.098506
2.0,2.0,2.0,15,834,-0.00451857,0.4532,-0.099122
2.0,2.0,2.5,10,819,-0.0046226,0.4676,-0.09951
1.75,2.0,2.0,15,1180,-0.00458842,0.4508,-0.099812
1.75,2.0,1.0,5,1309,-0.00373387,0.4003,-0.10067
1.75,3.0,1.5,7,1197,-0.0042692,0.4077,-0.100761
1.75,2.5,1.5,15,1189,-0.00459801,0.3802,-0.100896
1.75,2.0,2.5,5,1221,-0.00414902,0.4537,-0.101073
1.75,2.0,1.0,7,1294,-0.00387985,0.3849,-0.101835
2.0,2.5,1.5,10,848,-0.00447354,0.3998,-0.101966
2.0,2.0,1.5,20,867,-0.00445845,0.4095,-0.102384
2.0,2.0,1.0,10,891,-0.0039441,0.376,-0.102552
2.0,3.0,1.0,7,860,-0.00407277,0.3767,-0.10288
2.0,2.5,1.0,7,876,-0.00407231,0.3779,-0.104317
1.75,2.5,1.5,10,1203,-0.0046148,0.3915,-0.104574
1.75,2.0,2.0,10,1196,-0.00466082,0.4448,-0.105532
1.75,2.5,2.0,5,1224,-0.00433625,0.4412,-0.10559
1.75,2.0,1.5,20,1230,-0.00468521,0.4049,-0.107084
1.75,2.5,2.0,7,1190,-0.00468952,0.4387,-0.107215
1.75,2.0,2.5,7,1185,-0.00464545,0.465,-0.10723
2.0,2.5,2.0,7,835,-0.00466622,0.4479,-0.107714
1.75,2.5,1.5,7,1225,-0.00452689,0.4106,-0.107733
2.0,2.0,2.5,7,833,-0.00472604,0.479,-0.108174
2.0,2.0,1.5,15,867,-0.00466198,0.4106,-0.108217
1.75,2.0,2.0,5,1246,-0.00443108,0.4462,-0.109043
1.75,2.5,1.5,5,1257,-0.0043697,0.4232,-0.109485
1.75,2.0,1.5,15,1234,-0.00476973,0.4068,-0.10985
2.0,2.0,1.0,7,895,-0.0041635,0.3877,-0.110788
2.0,2.0,2.0,10,843,-0.00486112,0.446,-0.111395
2.0,3.0,1.5,7,842,-0.00470608,0.4133,-0.111397
2.0,3.0,2.5,5,830,-0.00460095,0.4398,-0.112056
1.75,2.0,1.5,5,1279,-0.00443158,0.4277,-0.112648
2.0,2.0,2.5,5,853,-0.00460447,0.4443,-0.113004
1.75,2.0,2.0,7,1221,-0.00480469,0.4505,-0.113584
2.0,2.5,2.5,5,843,-0.00465308,0.4401,-0.113658
1.75,2.0,1.5,10,1241,-0.00481038,0.4069,-0.114043
2.0,2.0,2.0,7,854,-0.00477512,0.4555,-0.114143
2.0,2.5,1.5,7,856,-0.00477818,0.4159,-0.114623
2.0,3.0,1.0,5,875,-0.0043228,0.3886,-0.115447
1.75,2.0,1.5,7,1258,-0.00476296,0.4205,-0.117681
2.0,2.0,1.0,5,902,-0.00431303,0.3925,-0.118181
2.0,2.0,1.5,10,870,-0.00501446,0.4126,-0.120263
2.0,2.5,1.0,5,888,-0.00451909,0.3874,-0.122484
2.0,3.0,2.0,5,845,-0.00497979,0.4308,-0.122949
2.0,3.0,1.5,5,864,-0.00492845,0.4132,-0.123895
2.0,2.0,1.5,7,876,-0.0049827,0.4235,-0.123952
2.0,2.0,2.0,5,869,-0.00507876,0.4327,-0.126632
2.0,2.0,1.5,5,888,-0.00500642,0.4167,-0.128722
2.0,2.5,2.0,5,858,-0.00528739,0.4277,-0.130965
2.0,2.5,1.5,5,876,-0.00523413,0.411,-0.133315
