Date,equity
2023-01-02,1.0
2023-01-03,1.0
2023-01-04,1.0
2023-01-05,1.0
2023-01-06,1.004853172494168
2023-01-09,1.0003384497995635
2023-01-10,0.9992237463739362
2023-01-11,1.0037865674988842
2023-01-12,1.0051018786051642
2023-01-13,1.0069791432770747
2023-01-16,1.0069791432770747
2023-01-17,1.0073385161285713
2023-01-18,1.0039576531781154
2023-01-19,1.001298295987211
2023-01-20,1.008713131225662
2023-01-23,1.017674444587407
2023-01-24,1.0198398357399456
2023-01-25,1.01648360484936
2023-01-26,1.021490299236491
2023-01-27,1.0258009257637235
2023-01-30,1.0197978743536307
2023-01-31,1.0243091851675545
2023-02-01,1.0276248769855825
2023-02-02,1.0351398779365848
2023-02-03,1.0253980468604968
2023-02-06,1.0270691023083272
2023-02-07,1.0339102898311854
2023-02-08,1.02516527886722
2023-02-09,1.0242272708945264
2023-02-10,1.0243859507938922
2023-02-13,1.026728605001048
2023-02-14,1.0340686535300658
2023-02-15,1.0387592851916996
2023-02-16,1.0316521221992259
2023-02-17,1.0283431413702435
2023-02-20,1.0307661436108824
2023-02-21,1.0245286610653086
2023-02-22,1.0287309680723862
2023-02-23,1.0266321548857131
2023-02-24,1.0247861383255479
2023-02-27,1.027335051412957
2023-02-28,1.0305301921456012
2023-03-01,1.029659017703865
2023-03-02,1.0287919081210801
2023-03-03,1.0262383437979306
2023-03-06,1.0290024819813888
2023-03-07,1.0311430424053731
2023-03-08,1.025282103095685
2023-03-09,1.0285862532268217
2023-03-10,1.0320520776408189
2023-03-13,1.0290375078344356
2023-03-14,1.0189126386732
2023-03-15,1.017810310140093
2023-03-16,1.0105879993283653
2023-03-17,1.0135664631551762
2023-03-20,1.0118075844941754
2023-03-21,1.0025579240851754
2023-03-22,1.003256333690501
2023-03-23,1.0000299455881694
2023-03-24,1.0006991315840932
2023-03-27,1.0063013949612178
2023-03-28,1.0061185186438624
2023-03-29,1.0018522994130632
2023-03-30,1.001140541236665
2023-03-31,0.9974740118075736
2023-04-03,1.0006408404742015
2023-04-04,0.9973489820026916
2023-04-05,0.9954915049501546
2023-04-06,0.9937499490573717
2023-04-10,0.9951189665234622
2023-04-11,0.9977394088363548
2023-04-12,0.9992431224360866
2023-04-13,0.9954879837317098
2023-04-14,0.9951000565734408
2023-04-17,0.9962994615205972
2023-04-18,0.9957628955075845
2023-04-19,0.9960670807912537
2023-04-20,0.9974902690356858
2023-04-21,0.9973099679050488
2023-04-24,0.9977610048424909
2023-04-25,0.9999473341037703
2023-04-26,0.9972855097304038
2023-04-27,0.9915942091662792
2023-04-28,0.9910522495051614
2023-05-01,0.9912358725402188
2023-05-02,0.9902464461645659
2023-05-03,0.9916955426997969
2023-05-04,0.9909371885453319
2023-05-05,0.9903189381710039
2023-05-08,0.9895958397880555
2023-05-09,0.9885217290525317
2023-05-10,0.9903888748038736
2023-05-11,0.989796783972053
2023-05-12,0.9891317225279374
2023-05-15,0.9910688314801893
2023-05-16,0.9886145531049668
2023-05-17,0.9938426748334288
2023-05-18,0.9973133873892187
2023-05-19,0.9987120806667873
2023-05-22,0.9995842634210187
2023-05-23,0.9973457838205421
2023-05-24,0.996031650506646
2023-05-25,1.0029771146300728
2023-05-26,1.0124438740723376
2023-05-29,1.0120539959035395
2023-05-30,1.0129607644977672
2023-05-31,1.0112020731669737
2023-06-01,1.014975138070581
2023-06-02,1.0199738937553828
2023-06-05,1.018740599514503
2023-06-06,1.0218273725209988
2023-06-07,1.0196613776108694
2023-06-08,1.0221845188822771
2023-06-09,1.0235603474324808
2023-06-12,1.027807175295459
2023-06-13,1.0313012516213207
2023-06-14,1.0340261787442255
2023-06-15,1.0374239993675434
2023-06-16,1.0369233367275505
2023-06-19,1.0360652898287281
2023-06-20,1.0314298389467946
2023-06-21,1.0259353786792547
2023-06-22,1.0335012426186236
2023-06-23,1.0275975658935037
2023-06-26,1.0230818937008648
2023-06-27,1.0293081087142912
2023-06-28,1.0298589636756954
2023-06-29,1.0298286190188926
2023-06-30,1.03217349589232
2023-07-03,1.0331076513209274
2023-07-04,1.0331288479837475
2023-07-05,1.0315594713705691
2023-07-06,1.0278756994515528
2023-07-07,1.0284372822018841
2023-07-10,1.0304289432223095
2023-07-11,1.0326767372156145
2023-07-12,1.036823794306876
2023-07-13,1.0419067969536162
2023-07-14,1.0405367234604546
2023-07-17,1.043211603421621
2023-07-18,1.0465391630101815
2023-07-19,1.0477223869764387
2023-07-20,1.0394759046797406
2023-07-21,1.0366744219112887
2023-07-24,1.0364191633307893
2023-07-25,1.037823576310794
2023-07-26,1.0384799786876793
2023-07-27,1.035674856841285
2023-07-28,1.0396477424332775
2023-07-31,1.0402000756461007
2023-08-01,1.0390697394138821
2023-08-02,1.032039595228117
2023-08-03,1.031447973916779
2023-08-04,1.0299797203523493
2023-08-07,1.0321473155920988
2023-08-08,1.0300338466229628
2023-08-09,1.0273259515343922
2023-08-10,1.0277556269101185
2023-08-11,1.026155095897994
2023-08-14,1.0289631380980886
2023-08-15,1.0263002132279362
2023-08-16,1.0237230285113035
2023-08-17,1.021132748433904
2023-08-18,1.0207934353166306
2023-08-21,1.0246764657436593
2023-08-22,1.0242327618214104
2023-08-23,1.0280300275973777
2023-08-24,1.0227274588994608
2023-08-25,1.0247358426630744
2023-08-28,1.0264973237306623
2023-08-29,1.0301356963896005
2023-08-30,1.029813023245205
2023-08-31,1.0295775136448293
2023-09-01,1.0315438288593963
2023-09-04,1.0331934577733748
2023-09-05,1.0320890754381533
2023-09-06,1.0334087105175178
2023-09-07,1.0331215410161207
2023-09-08,1.0344905897646741
2023-09-11,1.0338217046812406
2023-09-12,1.0324922832939625
2023-09-13,1.0333676781763708
2023-09-14,1.0355515264575745
2023-09-15,1.0356324389038294
2023-09-18,1.0347105138323205
2023-09-19,1.0338099513070311
2023-09-20,1.0326021940818295
2023-09-21,1.0302725425235535
2023-09-22,1.0310427588666249
2023-09-25,1.0297618100259502
2023-09-26,1.0258957843185115
2023-09-27,1.022817772724972
2023-09-28,1.0249595732994567
2023-09-29,1.0204461707241317
2023-10-02,1.0231872122525898
2023-10-03,1.0254001638501844
2023-10-04,1.0274187732423283
2023-10-05,1.0260683802241064
2023-10-06,1.0250501346319458
2023-10-09,1.0237601371573266
2023-10-10,1.0216772916299908
2023-10-11,1.019993522463486
2023-10-12,1.0232998506648805
2023-10-13,1.0260421090840623
2023-10-16,1.0251810604721354
2023-10-17,1.0205078637561755
2023-10-18,1.0228623228536105
2023-10-19,1.028945122798215
2023-10-20,1.0273647228366185
2023-10-23,1.02977809354454
2023-10-24,1.0286151710844462
2023-10-25,1.0364716373378304
2023-10-26,1.0370755806616268
2023-10-27,1.0385277922444334
2023-10-30,1.0382660141649542
2023-10-31,1.0365732011596613
2023-11-01,1.0369347922120282
2023-11-02,1.0331691976275468
2023-11-03,1.0284195532474167
2023-11-06,1.0259724144319515
2023-11-07,1.0294718573023318
2023-11-08,1.0309771522044249
2023-11-09,1.0314045319651726
2023-11-10,1.0353258322187346
2023-11-13,1.035467462474384
2023-11-14,1.0361235394743074
2023-11-15,1.0423456471435186
2023-11-16,1.0457721969047045
2023-11-17,1.0412950207507912
2023-11-20,1.0474610109062263
2023-11-21,1.0530562636881033
2023-11-22,1.0530104480128857
2023-11-23,1.0509157216698413
2023-11-24,1.0492425024908705
2023-11-27,1.0517675156795379
2023-11-28,1.055045581099475
2023-11-29,1.0609212063835325
2023-11-30,1.0572794811024697
2023-12-01,1.0475327427465524
2023-12-04,1.0496883606764122
2023-12-05,1.0479973984013002
2023-12-06,1.0432769265969029
2023-12-07,1.0466035359126504
2023-12-08,1.0501329173408762
2023-12-11,1.0493445848535503
2023-12-12,1.0507616171065606
2023-12-13,1.0523025641734145
2023-12-14,1.0533958891788573
2023-12-15,1.058212708028665
2023-12-18,1.0584699175714498
2023-12-19,1.060902230461409
2023-12-20,1.0607345892722948
2023-12-21,1.0619321708993845
2023-12-22,1.06336802863798
2023-12-26,1.0668067844843476
2023-12-27,1.066880229515445
2023-12-28,1.0689801689219653
2023-12-29,1.0682837015328979
2024-01-02,1.0618466174096544
2024-01-03,1.0575414635570521
2024-01-04,1.053928806960209
2024-01-05,1.0550799824120196
2024-01-08,1.0548759779001764
2024-01-09,1.0566402684312577
2024-01-10,1.0571326856121515
2024-01-11,1.0584767719250352
2024-01-12,1.0586382093137516
2024-01-15,1.0583638472349308
2024-01-16,1.0594492508063613
2024-01-17,1.0587692833034463
2024-01-18,1.0598104938798916
2024-01-19,1.0605359070880893
2024-01-22,1.058473392827352
