Date,Price,Open,High,Low,Vol.,Change %
01/02/2019,4689.3901,4642.1802,4699.98,4606.2002,76980400,nan%
01/03/2019,4611.4902,4641.7998,4671.2798,4607.6802,78741500,-1.66%
01/04/2019,4737.1201,4649.6299,4750.5098,4636.79,95967400,2.72%
01/07/2019,4719.1699,4757.0098,4760.27,4690.2202,73900700,-0.38%
01/08/2019,4773.27,4722.1602,4810.27,4719.23,98114900,1.15%
01/09/2019,4813.5801,4811.1802,4843.48,4801.8301,94180800,0.84%
01/10/2019,4805.6602,4788.7598,4805.6602,4759.7598,76138500,-0.16%
01/11/2019,4781.3398,4814.6602,4821.2798,4760.8398,77037500,-0.51%
01/14/2019,4762.75,4740.3101,4773.1499,4730.5498,69500100,-0.39%
01/15/2019,4786.1699,4799.5801,4816.73,4754.6899,83421600,0.49%
01/16/2019,4810.7402,4811.5898,4816.4902,4784.79,81097500,0.51%
01/17/2019,4794.3701,4782.6299,4801.6699,4772.6401,82674400,-0.34%
01/18/2019,4875.9302,4825.9702,4881.5698,4824.2598,106129400,1.7%
01/21/2019,4867.7798,4865.79,4872.6201,4859.7598,49416900,-0.17%
01/22/2019,4847.5298,4841.1802,4863.2998,4824.0601,67998400,-0.42%
01/23/2019,4840.3799,4831.9199,4875.4102,4820.1401,78599700,-0.15%
01/24/2019,4871.96,4839.5898,4883.8999,4832.3999,82884500,0.65%
01/25/2019,4925.8198,4895.5898,4931.7998,4890.8999,82965000,1.11%
01/28/2019,4888.5801,4903.9502,4912.1001,4878.6201,64841000,-0.76%
01/29/2019,4928.1802,4889.3398,4949.4502,4879.6602,66407300,0.81%
01/30/2019,4974.7598,4943.6802,4974.7598,4942.6401,68861600,0.95%
01/31/2019,4992.7202,4993.0898,5016.2798,4955.5,102641200,0.36%
02/01/2019,5019.2598,5004.6499,5023.3701,4980.5,79792300,0.53%
02/04/2019,5000.1899,5014.3101,5019.3999,4970.7002,70664200,-0.38%
02/05/2019,5083.3398,5009.8301,5083.3398,4997.5298,87212600,1.66%
02/06/2019,5079.0498,5060.6499,5083.8101,5058.04,85303500,-0.08%
02/07/2019,4985.5601,5075.75,5083.8901,4985.5601,111261700,-1.84%
02/08/2019,4961.6401,4980.8101,5005.6401,4946.1401,100191000,-0.48%
02/11/2019,5014.4702,4988.0898,5023.29,4986.2998,70045200,1.06%
02/12/2019,5056.3501,5052.3301,5073.79,5039.9902,81414900,0.84%
02/13/2019,5074.27,5071.54,5092.1899,5061.6001,84733400,0.35%
02/14/2019,5062.52,5117.79,5117.79,5062.52,90012000,-0.23%
02/15/2019,5153.1899,5061.54,5164.5801,5059.5,110465200,1.79%
02/18/2019,5168.54,5149.0601,5170.96,5147.8101,60816200,0.3%
02/19/2019,5160.52,5162.3101,5176.4102,5137.1699,67491900,-0.16%
02/20/2019,5195.9502,5168.5898,5202.8999,5159.0601,74722600,0.69%
02/21/2019,5196.1099,5200.1201,5206.3799,5180.6201,95156300,0.0%
02/22/2019,5215.8501,5190.9399,5226.7998,5190.2798,75215100,0.38%
02/25/2019,5231.8501,5228.25,5242.2202,5219.3901,72266600,0.31%
02/26/2019,5238.7202,5212.8599,5248.5,5197.29,74612300,0.13%
02/27/2019,5225.3501,5218.1201,5236.8301,5211.54,86877000,-0.26%
02/28/2019,5240.5298,5204.77,5247.5498,5204.77,110811900,0.29%
03/01/2019,5265.1899,5267.1401,5286.6899,5262.4702,88315600,0.47%
03/04/2019,5286.5698,5291.1299,5310.6401,5283.3501,63344600,0.41%
03/05/2019,5297.52,5288.5498,5297.9902,5267.5698,74259300,0.21%
03/06/2019,5288.8101,5288.3999,5314.9702,5281.9502,18519200,-0.16%
03/07/2019,5267.9199,5282.1401,5306.0898,5249.3198,100441400,-0.39%
03/08/2019,5231.2202,5233.9702,5252.3501,5221.0298,99881400,-0.7%
03/11/2019,5265.96,5253.4902,5268.5898,5230.1602,71957700,0.66%
03/12/2019,5270.25,5290.9399,5294.8301,5245.7598,79641900,0.08%
03/13/2019,5306.3799,5263.0098,5309.77,5261.8901,72032100,0.69%
03/14/2019,5349.7798,5308.75,5358.4102,5308.75,80679300,0.82%
03/15/2019,5405.3198,5352.8799,5421.5098,5351.8799,213640300,1.04%
03/18/2019,5412.8301,5403.54,5416.4902,5401.4702,71187100,0.14%
03/19/2019,5425.8999,5406.23,5443.1001,5403.5801,70707600,0.24%
03/20/2019,5382.6602,5417.21,5429.4399,5382.6602,80810600,-0.8%
03/21/2019,5378.8501,5378.4102,5393.3301,5349.0,75608100,-0.07%
03/22/2019,5269.9199,5394.46,5398.4702,5264.1299,109347500,-2.03%
03/25/2019,5260.6401,5211.7598,5276.7402,5211.7598,77602300,-0.18%
03/26/2019,5307.3799,5271.1401,5315.29,5257.79,64772700,0.89%
03/27/2019,5301.2402,5312.7002,5340.0498,5279.6499,92888500,-0.12%
03/28/2019,5296.54,5299.0298,5327.73,5291.6401,74378700,-0.09%
03/29/2019,5350.5298,5334.5601,5356.0698,5315.1099,79046600,1.02%
04/01/2019,5405.5298,5394.5,5414.5298,5376.1802,77183600,1.03%
04/02/2019,5423.4702,5409.6802,5433.5098,5403.4399,67149200,0.33%
04/03/2019,5468.9102,5458.02,5473.9199,5451.4399,87758700,0.84%
04/04/2019,5463.7998,5460.8301,5474.4102,5448.3999,69798300,-0.09%
04/05/2019,5476.2002,5469.3398,5486.0,5464.8501,77567000,0.23%
04/08/2019,5471.7798,5471.7402,5486.6299,5462.3799,58463400,-0.08%
04/09/2019,5436.4199,5453.0,5491.8501,5436.4199,68930800,-0.65%
04/10/2019,5449.8799,5442.6802,5461.3398,5440.3198,70801100,0.25%
04/11/2019,5485.7202,5474.3301,5498.8901,5446.2002,75234800,0.66%
04/12/2019,5502.7002,5478.9502,5510.9902,5474.3599,81746200,0.31%
04/15/2019,5508.73,5501.5098,5518.3701,5497.5298,67400500,0.11%
04/16/2019,5528.6699,5510.7202,5532.3101,5503.3501,76025200,0.36%
04/17/2019,5563.0898,5528.0098,5569.2798,5522.6099,86734600,0.62%
04/18/2019,5580.3799,5548.6602,5601.3799,5527.9399,105619800,0.31%
04/23/2019,5591.6899,5577.52,5596.21,5564.9399,87060900,0.2%
04/24/2019,5576.0601,5581.1602,5597.6001,5557.21,84201400,-0.28%
04/25/2019,5557.6699,5569.21,5571.8599,5538.2998,75881200,-0.33%
